_phrase_,grammar_symbol,value
callable,string,string
"('LUVERIS',)",drug_name,drug_name
"('HYQVIA',)",drug_name,drug_name
"('RENNIE', 'DUO')",drug_name,drug_name
"('CENTRUM', 'JUNIOR')",drug_name,drug_name
"('TROZEL', '2,5', 'MG')",drug_name,drug_name
"('UNITUXIN',)",drug_name,drug_name
"('NEO-MERCAZOLE',)",drug_name,drug_name
"('DICLAC', '100')",drug_name,drug_name
"('TOPILEX', '50', 'MG')",drug_name,drug_name
"('INFLUVAC',)",drug_name,drug_name
"('CARZAN', '8MG')",drug_name,drug_name
"('OLMESARTAN', 'MEDOXOMIL', 'APOTEX', '40', 'MG')",drug_name,drug_name
"('DRYTEC', 'STERILE', 'TECHNETIUM')",drug_name,drug_name
"('NOVORAPID',)",drug_name,drug_name
"('ELICEA', '20', 'MG')",drug_name,drug_name
"('BACTROBAN',)",drug_name,drug_name
"('QUETIAPINE', 'GSK', '25MG')",drug_name,drug_name
"('PARACETAMOL/PHENYLEPHRINE', 'GLOBALMED')",drug_name,drug_name
"('COLDREX', 'BRONCHO')",drug_name,drug_name
"('LEVETIRACETAM', 'GSK', '1000', 'mg')",drug_name,drug_name
"('QUINAPRIL/HCT', 'TEVA')",drug_name,drug_name
"('LINDAXA', '10')",drug_name,drug_name
"('VALSARTAN', 'HYDROCHLOROTHIAZIDE', 'LICONSA', '160MG/25MG')",drug_name,drug_name
"('VIEKIRAX',)",drug_name,drug_name
"('MILDRONAT',)",drug_name,drug_name
"('OSVAREN',)",drug_name,drug_name
"('PANANGIN',)",drug_name,drug_name
"('LAMBERTS', 'KREATIIN')",drug_name,drug_name
"('BICALUTAMIDE', 'ACCORD', '50MG')",drug_name,drug_name
"('MADELEINE',)",drug_name,drug_name
"('ARICLAIM',)",drug_name,drug_name
"('Loputuslahused',)",drug_name,drug_name
"('LINATERA',)",drug_name,drug_name
"('TAMOFEN',)",drug_name,drug_name
"('TYBOST',)",drug_name,drug_name
"('SÜSIHAPPEGAAS',)",drug_name,drug_name
"('HELEX', '0,25')",drug_name,drug_name
"('OLANZAPINE', 'SYNTHON', '2,5', 'MG')",drug_name,drug_name
"('DYNASTAT',)",drug_name,drug_name
"('MONKASTA',)",drug_name,drug_name
"('BETAHISTINE', 'ACTAVIS')",drug_name,drug_name
"('ALOXI',)",drug_name,drug_name
"('VISUCLOBEN',)",drug_name,drug_name
"('TERAZOSIN', 'ACCORD')",drug_name,drug_name
"('PRAVASTATIN', 'SANDOZ', '20MG')",drug_name,drug_name
"('IMODIUM', 'INSTANT')",drug_name,drug_name
"('AMMILY', '2', 'MG', '/', '0,03', 'MG')",drug_name,drug_name
"('TULIP', '20', 'MG')",drug_name,drug_name
"('AZILECT',)",drug_name,drug_name
"('TOPIRAMATE', 'TEVA')",drug_name,drug_name
"('PALIN',)",drug_name,drug_name
"('ZOLEDRONIC', 'ACID', 'ACTAVIS')",drug_name,drug_name
"('MODIODAL',)",drug_name,drug_name
"('ESCITALOPRAM', 'ACTAVIS')",drug_name,drug_name
"('TAMIFLU', 'IV')",drug_name,drug_name
"('NEURONTIN', '600')",drug_name,drug_name
"('TADALAFIL', 'PMCS', '5', 'MG')",drug_name,drug_name
"('IMATINIB', 'FRESENIUS', 'KABI')",drug_name,drug_name
"('ESOMEPRAZOLE', 'RANBAXY', '20MG')",drug_name,drug_name
"('OXYCORT',)",drug_name,drug_name
"('ZYBAN',)",drug_name,drug_name
"('KANDESAR', '4MG')",drug_name,drug_name
"('AVELOX', '400mg/250ml')",drug_name,drug_name
"('THYROZOL', '5', 'MG')",drug_name,drug_name
"('Codeini', 'phosphas')",drug_name,drug_name
"('BANEOCIN',)",drug_name,drug_name
"('TRANDATE',)",drug_name,drug_name
"('IMMUNATE', '500', 'RÜ/375', 'RÜ')",drug_name,drug_name
"('LEVTRYX',)",drug_name,drug_name
"('TETRACYCLIN', 'SALV')",drug_name,drug_name
"('HARMONET',)",drug_name,drug_name
"('GABAPENTIN', 'ORION')",drug_name,drug_name
"('VIRACEPT',)",drug_name,drug_name
"('DIPHENIN',)",drug_name,drug_name
"('DOKSORUBITSIIN', 'MYLAN')",drug_name,drug_name
"('KENGREXAL',)",drug_name,drug_name
