"_phrase_","value"
"callable","string"
"('aevastama',)","nohu"
"('aevastamine',)","nohu"
"('afaasia',)","kõnehäired"
"('agiteeritus',)","agressiivsus"
"('agressiivne',)","agressiivsus"
"('agressiivsus',)","agressiivsus"
"('ähmane',)","nägemishäired"
"('ajuinsult',)","insult"
"('akne',)","nahalööve"
"('alakõhuvalu',)","kõhuvalu"
"('alaseljavalu',)","seljavalu"
"('allergiline', 'reaktsioon')","ülitundlikkus"
"('allergiline',)","ülitundlikkus"
"('anafülaktiline', 'reaktsioon')","ülitundlikkus"
"('aneemia',)","aneemia"
"('angioödeem',)","turse"
"('anoreksia',)","kehakaalu langus"
"('äravajumine',)","minestus"
"('ärev',)","ärevus"
"('ärevus',)","ärevus"
"('ärevushäire',)","ärevus"
"('ärevushoog',)","ärevus"
"('ärevustunne',)","ärevus"
"('ärritusköha',)","köha"
"('ärrituv',)","agressiivsus"
"('ärrituvus',)","agressiivsus"
"('arütmia',)","südameprobleemid"
"('arütmiline',)","südameprobleemid"
"('atoopia',)","ülitundlikkus"
"('b', '-', 'hepatiit')","hepatiit"
"('bradükardia',)","südameprobleemid"
"('bradükardiline',)","südameprobleemid"
"('bronhiaalastma',)","bronhiit"
"('bronhiit',)","bronhiit"
"('c', '-', 'hepatiit')","hepatiit"
"('depr',)","depressioon"
"('depressiivne',)","depressioon"
"('depressioon',)","depressioon"
"('dermatiit',)","nahalööve"
"('desorientatsioon',)","segasus"
"('desorienteeritu',)","segasus"
"('diarröa',)","seedehäire"
"('düsartria',)","kõnehäired"
"('düspnoe',)","hingamisraskus"
"('ebaadekvaatne',)","segasus"
"('ebaregulaarne', 'südamerütm')","südameprobleemid"
"('ebatavaline', 'unenägu')","väsimus"
"('ekseem',)","nahalööve"
"('ekskoriatsioon',)","nahamuutus"
"('ekstrasüstoolia',)","südameprobleemid"
"('erektsioonihäire',)","seksuaalfunktsiooni häired"
"('erüteem',)","punetus"
"('fotofoobia',)","nägemishäired"
"('gaasivalu',)","puhitus"
"('gripilaadne', 'sümptom')","palavik"
"('günekomastia',)","günekomastia"
"('haavandtõbi',)","nahalööve"
"('hägune', 'nägemine')","nägemishäired"
"('hägustumine',)","nägemishäired"
"('haigutamine',)","väsimus"
"('halb', 'enesetunne')","halb enesetunne"
"('hallutsinatsioon',)","hallutsinatsioon"
"('hallutsinatsioon',)","nägemishäired"
"('haudumus',)","nahapunetus"
"('helin', 'kõrv')","tinnitus"
"('hep',)","hepatiit"
"('hepatiit',)","hepatiit"
"('hepatiit',)","hepatiit"
"('higistamine',)","kuumahood"
"('higistamine',)","palavik"
"('hingamisraskus',)","hingamisraskus"
"('hingeldama',)","hingamisraskus"
"('hirm',)","ärevus"
"('hirmutunne',)","ärevus"
"('hirmuunenägu',)","unehäire"
"('hüdrops',)","turse"
"('hüpereemia',)","turse"
"('hüpotensioon',)","madal vererõhk"
"('hüpotoonia',)","madal vererõhk"
"('iiveldus',)","iiveldus"
"('iiveldustunne',)","iiveldus"
"('impotentsus',)","seksuaalfunktsiooni häired"
"('infektsioon',)","infektsioonid"
"('infektsioosne',)","infektsioonid"
"('insult',)","insult"
"('isutus',)","isutus"
"('jäikus',)","liigesvalu"
"('jalavalu',)","jalavalu"
"('janu',)","janu"
"('jõetus',)","väsimus"
"('jõuetu',)","väsimus"
"('jõuetus',)","väsimus"
"('juus', 'väljalangemine')","juuste väljalangemine"
"('kaalukaotus',)","kehakaalu langus"
"('kaalulangus',)","kehakaalu langus"
"('kaalutõus',)","kehakaalu suurenemine"
"('kaelavalu',)","kaelavalu"
"('käitumishäire',)","depressioon"
"('kandidoos',)","soor"
"('kangus',)","lihasvalu"
"('kangustunne',)","lihasvalu"
"('karedus',)","nahamuutus"
"('kärsitus',)","rahutus"
"('kehakaal', 'langus')","kehakaalu langus"
"('kehakaal', 'suurenemine')","kehakaalu suurenemine"
"('kehakaal', 'tõus')","kehakaalu suurenemine"
"('kehakaal', 'vähenemine')","kehakaalu langus"
"('keskendumisraskus',)","rahutus"
"('ketendus',)","nahamuutus"
"('kihelus',)","sügelus"
"('kipitama',)","sügelus"
"('kipitav',)","sügelus"
"('kipitus',)","sügelus"
"('kipitustunne',)","sügelus"
"('kloppimine',)","südameprobleemid"
"('köha',)","köha"
"('köhaärritus',)","köha"
"('köhahoog',)","köha"
"('köhatama',)","köha"
"('köhatamine',)","köha"
"('köhima',)","köha"
"('köhimine',)","köha"
"('kohin', 'kõrv')","tinnitus"
"('kohin',)","tinnitus"
"('kohisema',)","tinnitus"
"('kõhugaas',)","puhitus"
"('kõhukinnisus',)","seedehäire"
"('kõhulahtisus',)","seedehäire"
"('kõhunääre', 'põletik')","kõhunäärme põletik"
"('kõhunäärmepõletik',)","kõhunäärme põletik"
"('kõhuprobleem',)","seedehäire"
"('kõhupuhitus',)","puhitus"
"('kõhuvaevus',)","seedehäire"
"('kõhuvalu',)","kõhuvalu"
"('kollatõbi',)","hepatiit"
"('kõnehäire',)","kõnehäired"
"('kõnetakistus',)","kõnehäired"
"('konfliktne',)","agressiivsus"
"('kontaktdermatiit',)","nahalööve"
"('kopsuhaigus',)","kopsuhaigus"
"('kopsupõletik',)","kopsuhaigus"
"('kõrge', 'vererõhk')","kõrge vererõhk"
"('kõrgvererõhktõbi',)","kõrge vererõhk"
"('korisema',)","seedehäire"
"('kõrv', 'kumisemine')","tinnitus"
"('kõrvakohin',)","tinnitus"
"('kõrvakohin',)","tinnitus"
"('kõrvetised',)","kõrvetised"
"('krambitunne',)","krambid"
"('kramp',)","krambid"
"('krampi',)","krambid"
"('kriis',)","depressioon"
"('kubel',)","nahalööve"
"('külmavärin',)","külmavärin"
"('külmetushaigus',)","nohu"
"('kumin',)","tinnitus"
"('kumisema',)","tinnitus"
"('kurguvalu',)","kurguvalu"
"('kusepidamatus',)","kusepidamatus"
"('kusetee', 'infektsioon')","kusepidamatus"
"('kuulmislangus',)","kuulmislangus"
"('kuulmismeelepete',)","hallutsinatsioon"
"('kuumahoog',)","kuumahood"
"('labiilsus',)","närvilisus"
"('laiguke',)","nahalööve"
"('laik',)","nahalööve"
"('lihasatroofia',)","nõrkus"
"('lihasevalu',)","lihasvalu"
"('lihaskramp',)","krambid"
"('lihasnõrkus',)","nõrkus"
"('lihaspinge',)","lihasvalu"
"('lihasspasm',)","krambid"
"('lihasvalu',)","lihasvalu"
"('lihasväsimus',)","lihasvalu"
"('lihhenisatsioon',)","nahamuutus"
"('liigesevalu',)","liigesvalu"
"('liigeskaebus',)","liigesvalu"
"('liigestevalu',)","liigesvalu"
"('liigestevalu',)","liigesvalu"
"('liigesvaevus',)","liigesvalu"
"('liigesvalu',)","liigesvalu"
"('lohkturse',)","turse"
"('lööbeelement',)","nahalööve"
