analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
01.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
02.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
03.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
04.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
05.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
06.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
07.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
08.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
09.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
10.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
11.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
12.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
13.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
14.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
15.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
16.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
17.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
18.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
19.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
20.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
21.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
22.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
23.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
24.00 Glükoos täisveres (glükomeetriga),B-Gluc,mmol/L,fcB-Gluc
Alaniini aminotransferaas,Alaniini amonitrasferaas,U/L,"S,P-ALAT"
