- D01544 - E370 - sünnitusabi ja günekoloogia,300
Hemogramm 5-osalise leukogrammiga,300
Koormustestid,299
-  REFRAKTSIOON         Sph     Cyl      Ax,298
Kilpnäärme asetsus iseärasusteta.,292
Rohelise ja sinise triaažikategooriaga haige käsitlus erakorralise meditsiini osakonnas,291
- M00347 - N600 - ämmaemandus,290
Koronarograafia,290
- M00586 - N600 - ämmaemandus,286
- M00386 - N600 - ämmaemandus,284
-  Tuli analüüside vastustele,284
"Tupe, perineumi ja emakakaela rebendite taastav operatsioon.",283
- Vanemlaborant,283
- M00608 - N600 - ämmaemandus,280
ANALÜÜSIDE TELLIMUS,280
- D03482 - E370 - sünnitusabi ja günekoloogia,278
- D03659 - Arst-õppejõud kardioloogia erialal,276
"- HERMLIN, TIIU - D03646 - E370 - sünnitusabi ja günekoloogia",276
1,275
-  Üldseisund - hea,272
"- D03897 - E440 - suu-, näo- ja lõualuukirurgia",272
- M00409 - N600 - ämmaemandus,272
- D01720 - E250 - onkoloogia (kiiritus- ja keemiaravi tähenduses),269
Põhjendus: Histoloogiline uuring,266
- D00017 - E370 - sünnitusabi ja günekoloogia,264
,264
"IRG6001 - RÖ rindkerest PA, AP (otse): Röntgenuuringud",261
- D04433 - Arst-õppejõud kardioloogia erialal,261
Põhjendus: perh,257
Elektrokardiograafia,256
- K0029 - E88 - füsioterapeut,255
Muud taastusravi protseduurid,255
Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga Ei ole avastatud,254
-  Antud anal. vastused-,253
Endoskoopilised,252
Angiograafia,252
"- D02774 - E440 - suu-, näo- ja lõualuukirurgia",251
- -,249
"- ALLIK, MERLE - D04280",249
- M00083 - N600 - ämmaemandus,248
SI naha torketestide tulemused,248
Elektromüograafia,245
- N07089 - N500 - üldõendus,244
Põhjendus: Histoloogiline uuring.,244
- D01696 - E370 - sünnitusabi ja günekoloogia,242
- D05358 - E380 - taastusravi ja füsiaatria,242
- REFRAKTSIOON         Sph         Cyl       Ax,240
Ehhokardiograafia,240
"- AUS, ANNELI - D05450 - Laboriarst",240
- D06600 - E460 - restauratiivne hambaravi (kliiniline hambaravi),239
Kontrollis.,239
- D00595 - E370 - sünnitusabi ja günekoloogia,237
Nägemisteravus ei ole muutunud,236
-  Ordineeritud ravi.,236
Ösofagogastroduodenoskoopia,234
- D05994 - E370 - sünnitusabi ja günekoloogia,234
- .,233
SPIROMEETRIA:,232
Visus,231
Hemogramm viieosalise leukogrammiga,230
-  Pt. tuli analüüside vastuseid saama.,229
66801 - Operatsioonipreparaadi väljalõige koos makropreparaadi ja histoloogilise preparaadi kirjeldava diagnoosiga (kuni 3 blokki): Histoloogia,227
7903 Röntgeniülesvõte rindkere piirkonnast (üks_ülesvõt,226
- D00033 - E370 - sünnitusabi ja günekoloogia,223
- D03472 - E42 - otorinolarüngoloogia,222
Menetlusradioloogia,222
- D04322 - E380 - taastusravi ja füsiaatria,222
- K0112 - E88 - füsioterapeut,221
"- ALURI, AILEN - D05994 - E370 - sünnitusabi ja günekoloogia",221
Elektrooniline tellimine,221
Röntgenoskoopia,219
Põhjendus: 6b,219
- D01294 - E370 - sünnitusabi ja günekoloogia,219
- N06757 - N500 - üldõendus,218
- D04696 - Laboriarst,217
- K0082 - E88 - füsioterapeut,216
Välisgenitaalid: normis,216
Koloskoopia,216
Koormustestid,214
ENMG,211
Kardioloogilised,211
Pts dioodlaseri kordus protseduuril,209
- D05995 - E370 - sünnitusabi ja günekoloogia,208
Uriini analüüs testribaga,207
IRU4002 - UH kõhust ja vaagnast: Ultraheli,207
,207
Holter,205
Keisrilõige.,202
- K0133 - E88 - füsioterapeut,201
ANALÜÜSIDE TELLIMUS,201
- Vajadusel korduv neuroloogi konsult.,200
- K0066 - E88 - füsioterapeut,199
-  Patsient pöördus 3D/4D loote ultraheliuuringuks.,198
Tuli kontrolli.,198
Nägemisteravus on muutunud,197
"66809 - Papanicolaou meetodil tehtud, skriinija ja patoloogi poolt hinnatud günekotsütoloogiline uuring: Günekotsütoloogia",197
- M00427 - N600 - ämmaemandus,196
-  Kontrolli NN-sse 6-8 näd. pärast.,196
- N11055 - N500 - üldõendus,194
"- KERMES, KADRI - D04278 - Laboriarst",194
PERIOODILINE TERVISEKONTROLL( dr.Piho):,192
"-  Nahk lööbeta , lim. kestad puhtad.  Südametoonid  regulaarsed, hea  jõudlusega.",192
- Andmesisestaja,191
- M00734 - N600 - ämmaemandus,190
Põhjendus: I67.9 Täpsustamata tserebrovaskulaarne haigus,189
- D02720 - E250 - onkoloogia (kiiritus- ja keemiaravi tähenduses),188
- M00688 - N600 - ämmaemandus,187
-  Loote sonomorfoloogia normi piires.,187
- Loote sonomorfoloogia normi piires,186
- K0065 - E88 - füsioterapeut,185
- D05448,185
RBC     ; HCT     ; MCV    ; HGB    ; MCH    ; MCHC    ; PLT     ; MPV      ; WBC     ; SR   0; Gly     ; CRV -   ; Valem:; keppt.  0; segmt.  0; eos.    0; basof.  0; lümf.   0; monot.  0,183
ANALÜÜSIDE TELLIMUS,182
- KUVARIGA TÖÖTAMISEL VAJAB PRILLE,182
tervise kontroll,182
"-  Regulaarsed puhkepausid - iga tund 5-7 min. Sirutada, teha venitusharjutusi, vaadata aknast välja kaugusesse.",181
Tonsillektoomia intubatsioonnarkoosis,180
Kilpnäärme ultraheli.,178
- N06629 - N500 - üldõendus,178
- N12529 - N500 - üldõendus,177
- D05024 - Spetsialist,176
-  tervisesport ja õige toitumine,175
7903 - Röntgeniülesvõte rindkere piirkonnast (üks ülesvõte),174
