,0,1,2
0,"Kliiniliselt
kliiniliselt",A00-B99,36
1,"Diffuusne
diffuusne",L00-L99,22
2,"Näol
näol",L00-L99,18
3,"Autoimmuunne tür[e]oidiit; hüpotüreoos
hüpotüreoos",E00-E90,16
4,"Raskekujuline
raskekujuline",G00-G99,14
5,"Oc.utr.
oc.utr.",Z00-Z99,12
6,"Köhavariantne
köhavariantne",J00-J99,10
7,"Sin.
sin.",H60-H95,9
8,"Kahtlus
kahtlus",J00-J99,9
9,"Kahtlus
kahtlus",G00-G99,7
10,"Oc.utr.
oc.utr.",H00-H59,7
11,"L-Thyroxinravil
L-Thyroxinravil",E00-E90,6
12,"Silmasisese e intraokulaarse läätse olemasolu; OD
OD",Z00-Z99,6
13,"Od
od",H00-H59,5
14,"Opereeritud
opereeritud",I00-I99,5
15,"Tablettravil
tablettravil",E00-E90,5
16,"Kätel
kätel",L00-L99,5
17,"2006a
2006a",I00-I99,5
18,"Pedum
pedum",L00-L99,5
19,E pk pk pT2N0M0G3  I st.  IIb--IIIkl. gr- 1999.a.,C00-D48,4
20,"Peanahk
peanahk",L00-L99,4
21,"Algav seniilkatarakt; OU
OU",H00-H59,4
22,"Metformiinravil 
metformiinravil",E00-E90,4
23,"Remissioonis
remissioonis",M00-M99,3
24,"Dysplasticus
dysplasticus",C00-D48,3
25,"Algav seniilkatarakt; OD
OD",H00-H59,3
26,"Nimmeosas
nimmeosas",M00-M99,3
27,"Koormusindutseeritav
koormusindutseeritav",J00-J99,3
28,"Oc.sin.
oc.sin.",H00-H59,3
29,"Dex.
dex.",H60-H95,3
30,"Remissioonis
remissioonis",L00-L99,3
31,"Seniilne nukleaarkatarakt e tuumakae; od
od",H00-H59,3
32,"Paroksüsmaalne
paroksüsmaalne",I00-I99,3
33,"Kahtlus
kahtlus",M00-M99,3
34,"Vasakul
vasakul",J00-J99,3
35,"I healoomuline kasvaja; mikroprolaktinoom
mikroprolaktinoom",None,3
36,"Insuliinravil
insuliinravil",E00-E90,3
37,"Capitis
capitis",L00-L99,3
