,0,1
0,-,1252
1,ja,1044
2,parem,903
3,vasak,727
4,muu,669
5,täpsustama,455
6,hüpertooniatõbi,371
7,südamepuudulikkus,369
8,südamekahjustus,362
9,III,353
10,2,319
11,aste,301
12,3,269
13,kahtlus,252
14,või,236
15,tegevus,235
16,risk,232
17,ilm,228
18,krooniline,213
19,kasvaja,203
20,1,200
21,murd,188
22,vasem,179
23,post,173
24,4,169
25,keskmine,158
26,opereerima,157
27,silm,155
28,mõlema,154
29,sündroom,153
30,et,149
31,jalg,147
32,kerge,141
33,staadium,141
34,pahaloomuline,140
35,äge,135
36,põlveliiges,129
37,IV,128
38,5,127
39,kõrge,124
40,põlv,118
41,ravi,118
42,piirkond,117
43,puusaliiges,114
44,järgne,109
45,käsi,109
46,artroos,103
47,ajuarter,103
48,organkahjustus,100
49,esmane,99
50,rebend,99
51,pea,99
52,tõtt,96
53,aeg,94
54,mõõdukas,93
55,puudulikkus,93
56,6,92
57,anamnees,91
58,puhke,89
59,autoimmuunne,88
60,kinnine,88
61,rind,87
62,haigus,86
63,migreen,82
64,algama,82
65,parempoolne,82
66,peaajuinfarkt,81
67,kael,80
68,stenoos,80
69,2009,80
70,endoprotees,78
71,neer,77
72,olemasolu,76
73,valu,76
74,klapp,76
75,0,76
76,sõrm,73
77,ägenemine,72
78,kodu,71
79,kukkumine,71
80,osaline,71
81,haigusseisund,70
82,2013,70
83,raskune,69
84,vasakpoolne,69
85,säär,68
86,remissioon,68
87,rask,68
88,kulg,67
89,st,67
90,lääts,66
91,lülivaheketas,65
92,häire,64
93,rasedus,64
94,2014,62
95,ei,61
96,sünnitus,61
97,osa,61
98,vaba,60
99,kops,60
100,siinusrütm,59
101,liiges,58
102,7,58
103,bilateraalne,58
104,sümptom,57
105,2008,57
106,silmasisene,55
107,koos,55
108,ots,54
109,sina,54
110,vigastama,54
111,seotu,54
112,korduma,54
113,töötamine,53
114,tasu,53
115,eest,53
116,2010,53
117,õlg,52
118,2011,52
119,täielik,51
120,emakas,50
121,teenistus,49
122,riskiaste,49
123,seisund,49
124,ülikõrge,48
125,teadma,48
126,2015,48
127,nimme,48
128,41,48
129,8,47
130,omandama,46
131,ok,46
132,distaalne,45
133,tüsistus,45
134,9,45
135,õlaliiges,45
136,kahepoolne,45
137,foon,45
138,võimalik,45
139,püsiv,44
140,positiivne,44
141,vorm,44
142,kombineerima,44
143,healoomuline,43
144,inf,43
145,varasem,43
146,kodarluu,42
147,40,42
148,aasta,42
149,ala,41
150,pool,41
151,2012,41
152,alune,41
153,kahjustuma,41
154,kardiovaskulaarne,40
155,tõbi,40
156,lülisammas,40
157,koda,40
158,alajäse,40
159,jääknäht,40
160,paranema,40
161,polüüp,40
162,trepp,39
163,asutus,39
164,raskusaste,39
165,hüppeliiges,39
166,tüüp,39
167,kõrv,39
168,permanentne,39
169,spastiline,39
170,3.,39
171,tüsistuma,38
172,lahtine,38
173,olema,38
174,astma,38
175,tingima,38
176,ranne,38
177,käskima,38
178,genees,38
179,39,38
180,võõrkeha,37
181,mujal,37
182,emboolia,37
183,müokardiinfarkt,37
184,generaliseeruma,36
185,hoog,36
186,fikseeruma,36
187,allergia,36
188,allergiline,36
189,2007,36
190,varustusala,36
191,peavalu,35
192,sekundaarne,35
193,infarkt,35
194,10,35
195,koht,34
196,sportlik,34
197,de,34
198,jälgimine,34
199,madu,34
200,2006,34
201,aort,34
202,arvel,34
203,protees,34
204,ebaselge,34
205,mainima,33
206,klassifitseerima,33
207,reis,33
208,sulgus,33
209,2.,33
210,muutus,33
211,tromboos,33
212,kartsinoom,33
213,juur,32
214,liiklusväline,32
215,hemorraagia,32
216,lisarisk,32
217,polüneuropaatia,32
218,põletik,31
219,lateraalne,31
220,kliiniline,31
221,suhtes,31
222,vana,31
223,endoproteesitu,30
224,kokkupuu,30
225,11,30
226,traumaatiline,30
227,mitraalklapp,30
228,neeruvaagen,30
229,1.,30
230,2004,30
231,struuma,29
232,elamisasutus,29
233,afaasia,29
234,diabeetiline,29
235,04,29
236,põrutus,29
237,2010.,29
238,vabaaeg,28
239,verejooks,28
240,dementsus,28
241,atroofiline,28
242,pindmine,28
243,aordiklapp,28
244,abort,28
245,sarvkest,28
246,kõõluskätis,28
247,mõlemapoolne,28
248,aneemia,28
249,ajuinfarkt,28
250,tsüst,28
251,pneumoonia,27
252,õnnetus,27
253,laserdama,27
254,kord,27
255,õlavööde,27
256,Rask,27
257,adenoom,27
258,03,27
259,töö,26
260,ninakõrvalurkepõletik,26
261,külgmine,26
262,ajam,26
263,mootor,26
264,tööriist,26
265,perifeerne,26
266,kinnituma,26
267,mis,26
268,38,26
269,sõlm,26
270,nädal,26
271,paik,25
272,puu,25
273,tekitaja,25
274,nii,25
275,alumine,25
276,segatüüp,25
277,klaaskeha,25
278,ravim,25
279,konjunktiviit,25
280,puus,25
281,munasari,25
282,disk,25
283,13.,25
284,tööstus,24
285,ehituspiirkond,24
286,kirurgiline,24
287,põhjus,24
288,liiklusõnnetus,24
289,sääreluu,24
290,lihane,24
291,hoone,24
292,eemaldamine,24
293,kõrgune,24
294,labajalg,24
295,labakäsi,24
296,eemaldama,24
297,ülalõuaurkepõletik,23
298,uni,23
299,peks,23
300,avalik,23
301,administratiivpiirkond,23
302,tavaline,23
303,kaubandus,23
304,teenindus,23
305,akt,23
306,2005,23
307,läbipõetu,23
308,nimmeosa,23
309,bioprotees,23
310,degeneratiivne,23
311,alasagar,23
312,infektsioon,23
