,0,1
0,e,626
1,dex,603
2,sin,597
3,II,505
4,I,292
5,in,238
6,op,206
7,st.,175
8,Od,160
9,os,154
10,L5,152
11,Os,146
12,od,144
13,a.,142
14,NYHA,136
15,s,131
16,HAS-BLED,128
17,ou,124
18,E,118
19,oc,116
20,tür,109
21,BMI,103
22,t,100
23,S1,99
24,L4,97
25,utr,96
26,st,94
27,h,94
28,A,91
29,v,87
30,art,87
31,l,78
32,a,71
33,M0,71
34,Oc,70
35,iit,68
36,KMI,67
37,CHA2DS2-VASc,65
38,PR,63
39,v.a,62
40,chr,62
41,Fr,62
42,vas,59
43,pos,58
44,D,57
45,Op,57
46,neg,55
47,Ou,53
48,PTKA,53
49,OS,51
50,OD,50
51,C6,50
52,Vas,47
53,c,46
54,N0,46
55,reg,46
56,p,46
57,mat,45
58,HASBLED,43
59,Tür,41
60,gr,41
61,C,41
62,S,41
63,C7,39
64,i,38
65,L3,37
66,CHA2DS2,37
67,R,36
68,V,36
69,cum,36
70,G2,35
71,Sin,34
72,EHRA,34
73,näd,34
74,N,33
75,m,33
76,In,32
77,I-II,32
78,HPV,32
79,DDDR,32
80,müo,32
81,P,31
82,Par,31
83,ÖR,31
84,HER2,31
85,par,31
86,NSTEMI,31
87,ab,31
88,OU,30
89,VASc,30
90,dx,30
91,j,29
92,Dex,27
93,BLED,26
94,ii,26
95,HAS,25
96,STEMI,25
97,L1,25
98,bil,24
99,PKI,23
100,n,22
101,pk,21
102,CPAP,21
103,Th,21
104,G3,21
105,VES,21
106,iii,21
107,CHADS-VASc,21
108,med,20
109,ILE,19
110,CT,19
111,sup,19
112,f,18
113,NX,18
114,min,18
115,C5,18
116,L2,18
117,N1,17
118,L,17
119,gen,17
120,sec,17
121,STENT,17
122,sept,17
123,DES,17
124,Ca,17
125,kl,16
126,AC,16
127,SVES,16
128,CCS,15
129,Pk,15
130,T3,15
131,CHAD2-VASC,15
132,B,15
133,EKV,15
134,M,15
135,TPO-AK,15
136,T2,14
137,inv,14
138,TEP,14
139,PK,14
140,lig,14
141,LAD,14
142,mcg,14
143,DIP,14
144,ESBL,14
145,SIN,14
146,<br />,14
147,cm,14
148,G1,13
149,ORGANKAHJ,13
150,CIN,13
151,M1,13
152,IVst,13
153,OM,13
154,EKS,13
155,d,13
156,L4-L5,13
157,is,12
158,IgG,12
159,FA,12
160,IIst,12
161,jms,12
162,H,12
163,SNVM,12
164,ST,12
165,L4-5,12
166,IgA,12
167,CHADS2-VASC,12
168,DEX,12
169,Gr,12
170,ml,12
171,AKŠ,12
172,R0,11
173,k.a,11
174,ac,11
175,RPE,11
176,PROM,11
177,Cx,11
178,B96,11
179,ex,11
180,kr,11
181,E66,11
182,1b,10
183,üla,10
184,ne,10
185,T,10
186,PTA,10
187,ani,10
188,fem,10
189,M41,10
190,pes,9
191,IVF,9
192,GS,9
193,EKG,9
194,SKG,9
195,al,9
196,OP,9
197,RCA,9
198,BMi,9
199,ACM,9
200,sp,9
201,k,9
202,M42,9
203,pn,9
204,VVI,9
205,C282Y,8
206,SRNVM,8
207,CMC,8
208,RÖ,8
209,DDD,8
210,RF,8
211,HLA,8
212,Unearteri- e,8
213,ca,8
214,C8,8
215,K,8
216,B12,8
217,IIIst,8
218,tud,8
219,li,8
220,Ii,8
221,heb,8
222,okt,8
223,def,8
224,BRVO,8
225,VAsc,8
226,tta,7
227,jaan,7
228,T1,7
229,KT,7
230,ASCUS,7
231,II-,7
232,L5-S1,7
233,OM1,7
234,yc,7
235,T0,7
236,Tu,7
237,sympt,7
238,ov,7
239,iv,7
240,L3-4,7
241,CHA2DS2VASc,7
242,M21,7
243,IOL,7
244,x,7
245,Di,7
246,hiv,6
247,DNA,6
248,mõl,6
249,Se,6
250,AMD,6
251,Kr,6
252,T4B,6
253,RNA,6
254,C6-7,6
255,X,6
256,B27,6
257,Di1,6
258,C3,6
259,ACL,6
260,Reg,6
261,HAR,6
262,MTP,6
263,HAS-,6
264,BMS,6
265,ES,6
266,NSAID,6
267,sept.,6
268,G46,6
269,IN,6
270,dig,6
271,4p,6
272,Th11,6
273,L3-L4,6
274,ACI,6
275,CHADSVASC,6
276,5cm,6
277,SPL,6
278,I10,6
279,POS,6
280,CHA2DS2VASC,6
281,CABG,6
282,IVBst,5
