,0,1,2
0,"Raskekujuline, kasutab CPAP aparaati
raskekujuline, kasutab CPAP aparaati",G00-G99,19
1,"Raskekujuline, kasutab CPAP aparaati",G00-G99,10
2,"Uinumise ja une säilitamise häired [insomniad]
kasutab unerohtu",G00-G99,4
3,Kasutab kuuldeaparaati,H60-H95,2
4,"Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis
alates 2010a varfariiniga antikoagulantravil",Z00-Z99,2
5,NSAID kasutamine,K00-K93,2
6,Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis; Xarelto; KATE sept.2014,Z00-Z99,1
7,Pillide valest kasutamisest tingitud,N00-N99,1
8,Pillide kasutamise järgselt,N00-N99,1
9,Cordaroni kasutamise foonil,E00-E90,1
10,Muude ravimite (käesolev) pikaajaline kasutamine anamneesis - ASPIRIIN,Z00-Z99,1
11,"Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis
anamneesis KATE",Z00-Z99,1
12,Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis(Eliquis),Z00-Z99,1
13,Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis MAREVAN,Z00-Z99,1
14,"Antikoagulantide (käesolev) pikaajaline kasutamine anamneesis; Xarelto
Xarelto",Z00-Z99,1
