_regex_pattern_,grammar_symbol,regex_type,value,correct_name,substance,_group_,_priority_
regex,string,string,callable,string,string,callable,callable
zocor,NAME,drug_name,lambda m: m.group(0),Zocor,simvastatiin,0,0
rosuvastatin,NAME,drug_name,lambda m: m.group(0),Rosuvastatin,rosuvastatiin,0,0
lopamol,NAME,drug_name,lambda m: m.group(0),Lopamol,atorvastatiin,0,0
simvastatin,NAME,drug_name,lambda m: m.group(0),Simvastatin,simvastatiin,0,0
lescol,NAME,drug_name,lambda m: m.group(0),Lescol,fluvastatiin,0,0
romazic,NAME,drug_name,lambda m: m.group(0),Romazic,rosuvastatiin,0,0
atorvastatin,NAME,drug_name,lambda m: m.group(0),Atorvastatin,atorvastatiin,0,0
lipostat,NAME,drug_name,lambda m: m.group(0),Lipostat,pravastatiin,0,0
roswera,NAME,drug_name,lambda m: m.group(0),Roswera,rosuvastatiin,0,0
torvacard,NAME,drug_name,lambda m: m.group(0),Torvacard,atorvastatiin,0,0
simvagamma,NAME,drug_name,lambda m: m.group(0),Simvagamma,simvastatiin,0,0
pravastatin,NAME,drug_name,lambda m: m.group(0),Pravastatin,pravastatiin,0,0
fluvastatin,NAME,drug_name,lambda m: m.group(0),Fluvastatin,fluvastatiin,0,0
pravahexal,NAME,drug_name,lambda m: m.group(0),Pravahexal,pravastatiin,0,0
simvacor,NAME,drug_name,lambda m: m.group(0),Simvacor,simvastatiin,0,0
rosucard,NAME,drug_name,lambda m: m.group(0),Rosucard,rosuvastatiin,0,0
awestatin,NAME,drug_name,lambda m: m.group(0),Awestatin,simvastatiin,0,0
simvor,NAME,drug_name,lambda m: m.group(0),Simvor,simvastatiin,0,0
tulip,NAME,drug_name,lambda m: m.group(0),Tulip,atorvastatiin,0,0
cordopro,NAME,drug_name,lambda m: m.group(0),Cordopro,rosuvastatiin,0,0
(^|[^A-ZÜÕÖÄa-züõöä])(atoris),NAME,drug_name,lambda m: m.group(1),Atoris,atorvastatiin,0,0
cholib,NAME,drug_name,lambda m: m.group(0),Cholib,simvastatiin+fenofibraat,0,0
vasilip,NAME,drug_name,lambda m: m.group(0),Vasilip,simvastatiin,0,0
rosvaden,NAME,drug_name,lambda m: m.group(0),Rosvaden,rosuvastatiin+amlodipiin,0,0
crestor,NAME,drug_name,lambda m: m.group(0),Crestor,rosuvastatiin,0,0
vigicord,NAME,drug_name,lambda m: m.group(0),Vigicord,rosuvastatiin,0,0
zaranta,NAME,drug_name,lambda m: m.group(0),Zaranta,rosuvastatiin,0,0
atorgamma,NAME,drug_name,lambda m: m.group(0),Atorgamma,atorvastatiin,0,0
atilen,NAME,drug_name,lambda m: m.group(0),Atilen,atorvastatiin,0,0
pravator,NAME,drug_name,lambda m: m.group(0),Pravator,pravastatiin,0,0
sortis,NAME,drug_name,lambda m: m.group(0),Sortis,atorvastatiin,0,0
simgal,NAME,drug_name,lambda m: m.group(0),Simgal,simvastatiin,0,0
delipid,NAME,drug_name,lambda m: m.group(0),Delipid,rosuvastatiin+esetimiib,0,0
duplecor,NAME,drug_name,lambda m: m.group(0),Duplecor,atorvastatiin+amlodipiin,0,0
suvezen,NAME,drug_name,lambda m: m.group(0),Suvezen,rosuvastatiin+esetimiib,0,0
vabadin,NAME,drug_name,lambda m: m.group(0),Vabadin,simvastatiin,0,0
roxardio,NAME,drug_name,lambda m: m.group(0),Roxardio,rosuvastatiin,0,0
inegy,NAME,drug_name,lambda m: m.group(0),Inegy,simvastatiin+esetimiib,0,0
amaloris,NAME,drug_name,lambda m: m.group(0),Amaloris,atorvastatiin+amlodipiin,0,0
amstadin,NAME,drug_name,lambda m: m.group(0),Amstadin,atorvastatiin+amlodipiin,0,0
astator,NAME,drug_name,lambda m: m.group(0),Astator,atorvastatiin,0,0
roxera,NAME,drug_name,lambda m: m.group(0),Roxera,rosuvastatiin,0,0
pravafenix,NAME,drug_name,lambda m: m.group(0),Pravafenix,pravastatiin+fenofibraat,0,0
rovasyn,NAME,drug_name,lambda m: m.group(0),Rovasyn,rosuvastatiin,0,0
simvastatiin,NAME,drug_name,lambda m: m.group(0),Simvastatin,simvastatiin,0,0
Rosuvastatini,NAME,drug_name,lambda m: m.group(0),Rosuvastatin,rosuvastatiin,0,0
Lescoli,NAME,drug_name,lambda m: m.group(0),Lescol,fluvastatiin,0,0
Pravastatini,NAME,drug_name,lambda m: m.group(0),Pravastatin,pravastatiin,0,0
Atorvastatini,NAME,drug_name,lambda m: m.group(0),Atorvastatin,atorvastatiin,0,0
Simvastatini,NAME,drug_name,lambda m: m.group(0),Simvastatin,simvastatiin,0,0
atorvastatiin,NAME,drug_name,lambda m: m.group(0),Atorvastatin,atorvastatiin,0,0
rosuvastatiin,NAME,drug_name,lambda m: m.group(0),Rosuvastatin,rosuvastatiin,0,0
Lesqol,NAME,drug_name,lambda m: m.group(0),Lescol,fluvastatiin,0,0
Crestori,NAME,drug_name,lambda m: m.group(0),Crestor,rosuvastatiin,0,0
T.Atorvastatin,NAME,drug_name,lambda m: m.group(0),Atorvastatin,atorvastatiin,0,0
T.Atoris,NAME,drug_name,lambda m: m.group(0),Atoris,atorvastatiin,0,0
T.Rosuvastatin,NAME,drug_name,lambda m: m.group(0),Rosuvastatin,rosuvastatiin,0,0
atorvas(tati?in)?,SUBSTANCE,substance,lambda m: m.group(0),atorvastatiin,atorvastatiin,0,0
fluvas(tati?in)?,SUBSTANCE,substance,lambda m: m.group(0),fluvastatiin,fluvastatiin,0,0
rosuvas(tati?in)?,SUBSTANCE,substance,lambda m: m.group(0),rosuvastatiin,rosuvastatiin,0,0
pravas(tati?in)?,SUBSTANCE,substance,lambda m: m.group(0),pravastatiin,pravastatiin,0,0
simvas(tati?in)?,SUBSTANCE,substance,lambda m: m.group(0),simvastatiin,simvastatiin,0,0
