analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
,,,,,359
DNA analüüsid,,823,HPV DNA,,2
Immuunmeetoditel uuringud,"",,f31 / sp IgE porgandi suhtes,,1
"digoksiin;fenobarbitaal,fenütoiin;gentamütsiin;karbamasepiin;teofüliin;valproaat;vankomütsiin.",,_Ravimite_kontsentratsioon_1,Karbamasepiin,ug/ml,1
Hematoloogilised uuringud,,23,2 B-GR-arv(Garnulotsüütide arv),10 l,6
Immuunuuringud,,3399,PSA,ng/ml,1
Hantaviiruse vastased IgG antikehad,,S2-Hanta_IgG,S2-Hanta IgG,-,4
Kliiniline vereanalüüs,"",RBC,RBC,,3632
Hematoloogilised uuringud,,47,Monotsüüt,%,8
Koronarograafia,"",S,S,,1
Mikrobioloogilised uuringud,,145237,Mikroobi kogu,,3
"Allergiapaneel, spetsiifiliste IgE antikehade määramine (immunoblot), vereseerumist",,S-IgE-Spec-3,Tomat,-,6
Happe-alus tasakaal,Areteriaalne veri,,Aluste liig,,36
Uriini analüüs,,Muud,Muud,,1
Happe-alus tasakaal,Areteriaalne veri,Süsinikdioksiidiosarõhk,Süsinik dioksiidi osarõhk,,166
Herpes simplex viirus (HSV1HS,,,,,1
Ekstraheeritavate tuumaantigeenide vastane IgI seerumis (paneel),,66707_S-ENA-paneel,Scl 70 antikehad,<ANONYM> unit,1
PAP test: Vulva,,3474,Erütrotsüüdi,,1
Kliiniline vereanalüüs,"",RET-He(retikulotsüütidehemoglobiinisisaldus),RET-He ( retikulotsüütide hemoglobiini sisaldus),,4
Aeroobide uuring rögast,,Sp-Aer,Sp-Aer,,5
Mikrobioloogilised uuringud,,1759,Pl-Ae(Aeroobse mikrofloora külv (platsentalt)),,1
PAP test: Portio,,1584,Gün tsüto uuringu dg,,43
PAP test,,4238,Lameepiteeli kirjeldus,,6
Kliiniline vere ja glükohemoglobiini analüüs,"",,Pisarrakud,,5
Naha- ja suguhaiguste analüüs,"",Mütseelidtallaalt,Mütseelid talla alt,,21
PAP test,,2517,Silinderepiteeli kirjeldus,,1
Tuumaantigeenide vastased antikehad,,S-aENA,S-aRNP,<ANONYM> unit,1
Kliinilise keemia uuringud,,10689,S-AL(Aluseline fosfataas),U/l,89
Inhaleeritud allergeenide vastased antikehad,,S-Inhal-IgE-(20),Derm.farin,-,1
Fibriini d-dimeerid,,B4-Fidd,B4-Fidd,mkg/ml,30
Happe-alustasakaal arteriaalses veres,,aB-ABB,BEact mmo/l art. veres,mmol/l,6
Hematoloogilised uuringud,,512,Monotsüütide,%,2
Türeotropiini vastased antikehad,,anti-TR,anti-TR,U/l,4
Ekstraheeritavate tuumaantigeenide vastane IgG seerumis (paneel),,66707_S-ENA-paneel,Scl 70 antikehad,<ANONYM> unit,3
Kliiniline vereanalüüs,"",Lümfotsüüdid,Lümfotsüüdid,,493
Mikrobioloogilised uuringud,,903,"Azitromüts. 0,1",,3
Happe-alus tasakaal,,70954,La,mmol/l,7
Mikrobioloogilised uuringud,,4772,Mikroobi kogu,,3
