,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
9,Koronarograafia,nan,S,S,,1,,False,False,False,False,False,False,False,False,False,False,True
13,Uriini analüüs,nan,Muud,Muud,,1,,False,False,False,False,False,False,False,False,False,False,True
49,Uriini uuringud,nan,3877,U-Ery(Erütrotsüüdid uriinis),µl,5,,False,False,False,False,False,False,False,False,False,False,True
63,Uriini analüüs,1.hommikune uriin,LeuLeukotsüüdidtestribaga,Leu Leukotsüüdid testribaga,,13,,False,False,False,False,False,False,False,False,False,False,True
101,Uriini uuringud,nan,1505,Nitritid,,9,,False,False,False,False,False,False,False,False,False,False,True
104,Uriini analüüs 10-parameetrilise testribaga,nan,U-Strip,Uriini nitritid,-,350,,False,False,False,False,False,False,False,False,False,False,True
121,Uriini uuringud,nan,764,makrof.,,736,,False,False,False,False,False,False,False,False,False,False,True
126,Uriini uuring 10-parameetrilise testribaga,nan,U-Strip,UBG,-,1,,False,False,False,False,False,False,False,False,False,False,True
147,Uriini uuringud,nan,12,1 U-ERY,rakku/µl,1,,False,False,False,False,False,False,False,False,False,False,True
148,Erikaal (uriin),nan,nan,nan,,1,,False,False,False,False,False,False,False,False,False,False,True
149,Uriini analüüs,ööpäevane uriin,dU-AlbAlbumiinööpäevasesuriinis,dU-Alb Albumiin ööpäevases uriinis,,6,,False,False,False,False,False,False,False,False,False,False,True
161,valk uriinis,nan,U-Prot,U-Prot,g/l,28,,False,False,False,False,False,False,False,False,False,False,True
167,Uriini analüüs,ööpäevane uriin,dU-OsmolOsmolaalsusööpäevasesuriinis,dU-Osmol Osmolaalsus ööpäevases uriinis,,1,,False,False,False,False,False,False,False,False,False,False,True
174,Uriini sademe mikroskoopia,nan,U-Sedi-m,Lameepiteel,r/vv,3,,False,False,False,False,False,False,False,False,False,False,True
177,Uriini sademe mikroskoopia,nan,U-Sed-m,Lima,-,389,,False,False,False,False,False,False,False,False,False,False,True
182,Albumiini-kreatiniini suhe uriinis,nan,U-Alb/Crea,Kreatiniin (U),mmol/L,11,,False,False,False,False,False,False,False,False,False,False,True
186,Uriini sademe mikroskoopia,nan,U-Sedim,Bakterid (ur. sademes),-,25,,False,False,False,False,False,False,False,False,False,False,True
189,"Nesseria gonorrhoeae, PCR, uriinist",nan,U-Ng-PCR,N.gonorrhoeae määramine PCR meetodil uriinis,-,2,,False,False,False,False,False,False,False,False,False,False,True
195,Biokeemia analüüs,1.hommikune uriin,fS-Urea(uurea),fS-Urea (uurea),,4,,False,False,False,False,False,False,False,False,False,False,True
197,Uriini uuringud,nan,126,"U-Erikaal(Uriini erikaal, üks parameeter 10 parameetriliseltestribal)",,4,,False,False,False,False,False,False,False,False,False,False,True
203,Uriini uuringud,nan,2171,U-Le(Leukotsüüdid uriinis),µl,11,,False,False,False,False,False,False,False,False,False,False,True
205,Uriini analüüs 10-param. testribaga,nan,U-Strip,Urobilinogeen UBG,-,940,,False,False,False,False,False,False,False,False,False,False,True
209,Neisseria gonorrhoeae DNA uriinis,nan,U-Ngo-PCR,Neisseria gonorrhoeae DNA,-,8,,False,False,False,False,False,False,False,False,False,False,True
215,Uriini sademe mikroskoopia,nan,U-Sedim,Rasvsilindrid,-,2,,False,False,False,False,False,False,False,False,False,False,True
232,Uriini sademe mikroskoopia,nan,U-Sedim,Hüaliinsilindrid (U),s/vv,89,,False,False,False,False,False,False,False,False,False,False,True
245,Narkootikumide kvalitatiivne uuring uriinist,nan,U-Narco,Kannabinoidid (U),,2,,False,False,False,False,False,False,False,False,False,False,True
260,Uriini uuringud,nan,2129,Erütrotsüüdi,,1,,False,False,False,False,False,False,False,False,False,False,True
269,Uriini analüüs,nan,dU-ProtValkööpäevasesuriinis,dU-Prot Valk ööpäevases uriinis,,46,,False,False,False,False,False,False,False,False,False,False,True
272,Uriini uuringud,nan,708,Nitritid,,4,,False,False,False,False,False,False,False,False,False,False,True
274,Valk 24-tunni uriinis,nan,dU-Prot_,dU-Prot,g/24 t,3,,False,False,False,False,False,False,False,False,False,False,True
275,Uriini analüüs 10-parameetrilise testribaga,nan,U-Strip,Uriini pH,-,350,,False,False,False,False,False,False,False,False,False,False,True
294,Uriini uuringud,nan,2234,Ketokehad,,39,,False,False,False,False,False,False,False,False,False,False,True
