parameter_name,t_lyhend,loinc_code,substrate,evidence
61372-9 HPV 16 DNA,XXX-HPV 16 DNA,61372-9,,latest_manual_cases
61373-7 HPV 18 DNA,XXX-HPV18 DNA,61373-7,,latest_manual_cases
71431-1 HPV kõrge riski DNA,XXX-HPV high risk DNA II,71431-1,Cvx,latest_manual_cases
AAV1 1 U-Glu(Glukoos uriinis),U-Gluc,15076-3,Urine,latest_parentheses_two_cases
AAV1 1 U-Pro(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_two_cases
AAV1 1 U-UBG(Urobilinogeen  ),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
AAV1 2 U-Glu(Glukoos uriinis),U-Gluc,15076-3,Urine,latest_parentheses_two_cases
AAV1 2 U-Pro(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_two_cases
AAV1 2 U-UBG(Urobilinogeen  ),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
AAV1 U-Glu(Glukoos uriinis),U-Gluc,15076-3,Urine,latest_parentheses_two_cases
AAV1 U-Pro(Valk uriinis),U-Prot,2888-6,Urine,latest_parentheses_two_cases
AAV1 U-UBG(Urobilinogeen  ),U-Ubg strip,60025-4,Urine,latest_parentheses_two_cases
aB-ABB,aB-ABB panel,24336-0,Bld,latest_completely_manual_cases
aB-ABE,aB-BE,1925-7,Bld,latest_completely_manual_cases
aB-Elektrol????did,aP-Electrolytes panel,L-4049,,latest_completely_manual_cases
aB-Elektrol??????did,aP-Electrolytes panel,L-4049,,latest_manual_cases
aB-K,aB-K,32713-0,Bld,manual
aB-Lac,aP-Lac,2518-9,Bld,latest_manual_cases
aB-Na,aB-Na,32717-1,Bld,manual
aB-tO2,aB-O2,59274-1,Bld,latest_manual_cases
A(Erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II",1008-2,Ser/Plas,latest_parentheses_two_cases
A(erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II",1008-2,Ser/Plas,latest_parentheses_two_cases
AFP(Alfa-fetoproteiin),"S,P-AFP",53961-9,Ser/Plas,latest_parentheses_one_cases
AK(Erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II",1008-2,Ser/Plas,latest_parentheses_two_cases
AK(erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II",1008-2,Ser/Plas,latest_parentheses_two_cases
Alaniini aminotransferaas,"S,P-ALAT",1744-2,Ser/Plas,latest_name_cases
Alaniini aminotransferaas seerumis,"S,P-ALAT",1744-2,Ser/Plas,latest_manual_cases
ALAT Alaniini aminotransferaas,"S,P-ALAT",1744-2,Ser/Plas,latest_manual_cases
ALAT(Alaniini aminotransferaas seerumis),"S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_one_cases
