parameter_unit,parameter_unit_clean,loinc_unit,evidence
‰,‰,,
%0,%0,,
0.5 - 2. 0%,0.5- 2. 0%,,
/100/L,/100L,,
10*12/,10E12/,,
10^12/mikrol,10E12/uL,,
10*3 µl,10E3/uL,,
*10³/µl,10E3/uL,,
10*3mik/L,10*3mik/L,,
10*3mik/l,10*3mik/l,,
10^3/uL,10E3/uL,,
10 3/uL,10E3/uL,,
10*6/L,10*6/L,,
10'6mik/L,10'6mik/L,,
10*9 g/L,10E9g/L,,
10/9 l,10/9l,,
10e3/uL,10E3/uL,,
10 g/l,10g/L,,
10g/l,10g/L,,
10 IU/l,10IU/L,,
10^/L,10^/L,,
10 l,10L,,
10 ng/ml,10ng/mL,,
10 U/l,10U/L,,
1:100 WBC,1:100WBC,,
"1,2,3","1,2,3",,
Alb mg/mmol Cre,Albmg/mmol Cre,,
arb.unit/l,AU/L,,
arv/ul,AU/mL,,
AU,AU,,
CH50 Eq U/ml,CH50Eq U/ml,,
COI,COI,,
DU,DU,,
EIU,EIU,,
EIÜ,EIU,,
er/µl,er/uL,,
er/µ/l,er/uL,,
Er/uL,er/uL,,
Er/ul,er/uL,,
er/ul,er/uL,,
Ery/mikroL,er/uL,,
Ery/uL,er/uL,,
Ery/ul,er/uL,,
ery/ul,er/uL,,
g/cm3,g/cm3,,
g/cm³,g/cm3,,
µg/d,µg/d,,
g/dL,g/dL,,
µg/dl,ug/dL,,
g/dl,g/dL,,
µgE1/g roojas,µgE1/groojas,,
µgE1/g stool,ugE1/gstool,,
g/g,g/g,,
?g/mL,g/mL,,
GPL-U/ml,GPLU/mL,,
HLA-B*-tüübid,HLA-B*-tüübid,,
/[HPF],/[HPF],,
index,index,,
%INH,%INH,,
INR,INR,,
IU,IU,,
IU/L,IU/L,,
IU/l,IU/L,,
µIU/mL,µIU/mL,,
µIU/ml,uIU/mL,,
IU/mL=EASTklass,IU/mL=EASTklass,,
IU/ml=EASTklass,IU/mL=EASTklass,,
IU/ml=RASTklass,IU/ml=RASTklass,,
kg/L,kg/L,,
kg/l,kg/L,,
% kogu Hb-st,%kogu Hb-st,,
korda,korda,,
kPa,kPa,,
L,L,,
µ/L,µ/L,,
l,L,,
µl,uL,,
Leuk/uL,leu/uL,,
Leu/mikroL,leu/uL,,
Leu/uL,leu/uL,,
Leu/ul,leu/uL,,
lk/µl,leu/uL,,
lk/µ/l,leu/uL,,
lk/ul,leu/uL,,
L/L,L/L,,
µl/l,uL/L,,
lU,IU,,
lU/l,lU/l,,
mg %,mg%,,
mg Alb/mmol Cre,mgalb/mmol kreat,,
mg Alb/mmol/Cre,mgAlb/mmol/Cre,,
mg/mg,mg/mg,,
mg/mL,mg/mL,,
mg/ml,mg/mL,,
mg/mmol Cr,mgalb/mmol kreat,,
mikIU/l,uIU/L,,
mik/L,mik/L,,
mikrg/dl,ug/dL,,
mikrlU/ml,uIU/mL,,
mikrol/l,uL/L,,
milj,milj,,
milj/mL,milj/mL,,
milj/ml,milj/ml,,
m[IU]/mL,m[IU]/mL,,
mIU/mL,mIU/mL,,
mIU/ml,mIU/mL,,
"mL/min/1,73 m2","mL/min/1,73m2",,
"mL/min1,73m³","mL/min1,73m³",,
mlU/ml,mIU/mL,,
mmol,mmol,,
mmol/,mmol/,,
mmol/kg,mmol/kg,,
mmol/ml,mmol/mL,,
mmol/mol Crea,mmol/molCrea,,
mol (Ca)/mol Crea,mol(Ca)/mol Crea,,
µmol/d,µmol/d,,
µmol/mmol Crea,µmol/mmolCrea,,
mol (Na)/mol Crea,mol(Na)/mol Crea,,
mol (P)/mol Crea,mol(P)/mol Crea,,
MoM,MoM,,
mOsm/kg,mOsm/kg,,
mosm/kgH20,mosm/kgH20,,
mU/ml,mU/mL,,
%NEUTR,%NEUTR,,
ng FEU/ml,ngFEU/mL,,
ng/µL,ng/µL,,
ng/mL/h,ng/mL/h,,
ng/ml/h,ng/mL/h,,
ng/mL(RBC)/1h,ng/mL(RBC)/1h,,
nM,nM,,
nmHg,nmHg,,
nmol/g crea,nmol/gcrea,,
nmol/ml,nmol/ml,,
nmol/mmol Crea,nmol/mmolCrea,,
nmpl/mmolCrea,nmpl/mmolCrea,,
normaalset 1 juhu kohta,normaalset1 juhu kohta,,
% norm. aktiivsusest,%norm. aktiivsusest,,
Normitud suhe,normsuhe,,
%o,‰,,
