text	y
MARIA TEIVERLAUR <br> Mina olen veel noor … <br> MARIA TEIVERLAUR ( <DATE> ) on meditsiinipsühholoog , Jämejala Psühhiaatriahaigla psühholoogia kabineti juhataja .	1
Viljandi Kultuurikolledzi õppejõud .	0
Pedagoogikakandidaat aastast <DATE> .	1
Teie käest küsitakse , kui vana Te olete .	0
Tundub , et sellele pärimisele on lihtne vastata .	0
Aga võta näpust … nüüdisaja teadus eristab hoopis mitut erinevat vanust , sealhulgas näiteks bioloogilist , sotsiaalset ja psühholoogilist .	0
Inimese subjektiivne suhtumine oma vanusesse on küllaltki erinev .	0
Mõnigi eakas inimene võib tunda end nooremana , teine vanemana kui elatud aastad näitavad .	0
Elus juhtub sageli , et inimene peab end nooremaks , kui ta tegelikult ( n.-ö. kronoloogiliselt ) o n .	0
Mõned aastad tagasi korraldati katse , milles osales <INT> kõrgharidusega meest ja naist vanuses <INT> - <INT> aastat .	0
Nad pidid ette kujutama , et ei tea oma tõelist vanust , ning andma subjektiivse hinnangu selle kohta .	0
Tulemused näitasid , et ligi veerandil tegel ik ja subjektiivne vanus kattusid kas täiesti või piirdus erinevus aastaga .	0
Üle poole katsealustest pidas end nooremaks ja umbes viiendik tundis end vanemana , kui nad tegelikult olid .	0
Nooruse saladused <br> Subjektiivne arvamus oma vanuse kohta on üsna oluline , sest enesetunnetusest selle kõige laiemas tähenduses sõltub ju inimese meeleolu ja käitumine .	0
Miks inimesed oma vanust erinevalt tunnetavad , on püütud seletada mitut moodi .	0
Teadlaste seas ühe levi nuima arvamuse järgi on igal isiksusel nn. aastate psühhofüsioloogilise aktiivsuse tsüklite “ loendaja ” , mille “ näitude ” alusel hinnataksegi oma psühholoogilist vanust .	0
Teine seletus opereerib saavutustega , eneseteostusega , mis on teatud eas inimestele ena masti omane .	0
Rõhutatakse , et kui inimese saavutused ületavad sotsiaalsed ootused , hakkab ta end tundma vanemana , kui ta tegelikult on .	0
Juhul , kui saavutused on väiksemad kui teatud vanuses temalt loodetakse , tunnetab isik end nooremana .	0
Katsed näitavad , e t näiteks vallalised tunnetavad end oluliselt nooremana kui abieluinimesed .	0
Inimesed , kes tunnetavad end tegelikust tunduvalt nooremana , on sageli vähem iseseisvad ja emotsionaalselt ebastabiilsemad .	0
Seega võib psühholoogilist vanust defineerida ka kui isiksuse psühholoogilise aja realiseerumise astet .	0
Või teisiti - psühholoogilise aja realiseerumist ehk täitumist teadvustab iga inimene oma “ hingelise ” vanusena , mida nimetataksegi isiksuse psühhol oogiliseks vanuseks .	0
Erinevalt kronoloogilisest ja bioloogilisest vanusest on psühholoogiline vanus pöörduv , s.t. et inimene võib muutuda järjest nooremaks .	0
See toimub enamasti n.-ö. psühholoogilise tuleviku suurenemise arvel : kui inimene loodab kaua elad a , siis ta vananeb “ aeglasemalt ” .	0
Mõtted , mis teevad vanemaks või nooremaks <br> Nagu teada , elavad paljud vanad inimesed oma mõtetega rohkem minevikus .	0
Sellega püüavad nad kompenseerida oma bioloogilist ja sotsiaalset vananemist .	0
Elades mineviku kujutlustes oma ilusate mälestuste keskel tunneb vana inimene end emotsionaalselt tea taval määral nooremana .	0
Täpsustuseks peab veel lisama , et see , kes elab mõtetega rohkem tulevikus , kui olevikus , tunnetab end vanemana , kui inimene , kes “ elab siin ja praegu ” .	0
