"Kodu, puhke- ja vaba aja tegevus",994
"Suulae- [kurgu-] ja [nina-]neelumandlite kroonilised haigused, krooniline mandlipõletik e tonsilliit",528
Oc. utr.,495
"Tür[e]oidiit e kilpnäärmepõletik, autoimmuunne tür[e]oidiit",489
"Tänav ja [maan]tee, puhke- ja vaba aja tegevus",384
"Dermatofütoos e nahaseenhaigustu[mu]s, küünte nahaseenhaigustus e tiinea",250
Oc utr,243
E pneumoonia,235
Lampjalg (omandatud)pes planus (acquisitus),220
"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos difuusse struumaga",219
Kodus puhke- või vabaaja tegevuse juures,211
Muu spondüloos,186
"Kodarluu ala- [distaalse] otsa murd, kinnine",182
Krooniline c-viirushepatiit,175
Oc. sin.,153
Oc. dex.,137
Viirustüükad [soolatüükad] e harilikud tüükad,127
Ninaverejooks e epistaks {epistaxis},124
"Kodu, muu töö ja tegevus",114
"Täielik või täpsustamata, tüsistusteta",113
"Tür[e]otoksikoos [hüpertüreoos], tür[e]otoksikoos toksilise hulgisõlmelise struumaga",111
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta II,111
"Emaka (v.a emakakael) muud põletikuta haigusseisundid, endomeetriumi näärmeline hüperplaasia",110
Somatoformne vegetatiivne düsfunktsioon,108
"Muud ja täpsustatud kohad, muu täpsustatud tegevusega",107
"Spordi- ja kehakultuuriväljakud [asutused], sportlik tegevus",105
"Muud ja täpsustatud kohad, puhke- ja vaba aja tegevus",103
"Dermatofütoos e nahaseenhaigustu[mu]s, jalgade nahaseenhaigustus e tiinea",102
"Trepil(t) või astmetel(t) kukkumine, kodu, puhke- ja vaba aja tegevus",101
"Äge sinu[s]iit e ninakõrvalurkepõletik, äge ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",99
"Kodu, sportlik tegevus",95
"Täpsustamata paik, muu täpsustamata tegevus",91
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline ülalõuaurkepõletik e maksillaarsinu[s]iit e haimoriit",88
Oc sin,87
Oc dex,86
Kõigi paikmete hemangioom,81
-oluline käitumishäire,80
"Ou , silmasisese e intraokulaarse läätse olemasolu",80
"Tööstus- ja ehituspiirkond, töötamine tasu eest, teenistus",77
"Elamisasutus, puhke- ja vaba aja tegevus",75
"Krooniline sinu[s]iit e ninakõrvalurkepõletik, krooniline pansinu[s]iit",71
"Kodu, muu täpsustatud tegevusega",69
Tänaval või [maan]teel puhke- või vabaaja tegevuse juures,68
NYHA II,66
Südamekahjustusega hüpertooniatõbi ilma (kongestiivse) südamepuudulikkuseta; Riskiaste 2,65
E pk,60
"Eostumist kaavitav [kaasaaitav] käitlus, eostumine in vitro",59
"Anogenitaalsed herpesviirusnakkused [herpes simplex], suguelundite ja urogenitaaltrakti herpesviirusnakkused",58
Riskiaste 2,58
"Tür[e]oidiit e kilpnäärmepõletik, muu krooniline tür[e]oidiit",56
Kerge depressioon,55
PR  .,55
"Õlavarreluu proksimaalse [ülaotsa] murd, kinnine",52
Ou  .,51
III st.,51
Nimme-ristluu piirkond,49
Oc. utr,48
Keskmise raskusega,47
"Uinumise ja une säilitamise häired [insomniad]
päevane liigunisus",47
"Lateraalse malleooli [külgmise pekse] murd, kinnine",46
"Eostumist kaavitav [kaasaaitav] käitlus, muu eostumist kaavitav käitlus",46
"Liiklusvälises õnnetuses vigastatud juht, puhke- ja vaba aja tegevus",46
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega II aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",45
Oc. sin,44
Generaliseerunud (persistentse) lümfadenopaatiana avalduv hiv-tõbi,43
A pk,43
R ou,43
"Täielik v tta, tüsistusteta",42
II NYHA,42
Krooniline kõripõletik,40
Od  .,40
"Tänav ja [maan]tee, muu täpsustatud tegevusega",40
"Hüperparatüreoos ja muud paratür[e]oidnäärme haigusseisundid, esmane e primaarne hüperparatüreoos",39
Pahaloomuline kasvaja,38
IV st.,38
"Nimmelülimurd, kinnine",37
"Küünar- ja kodarluu distaalsete otsade murd, kinnine",37
E healoomuline kasvaja,37
"Kliiniliselt
kliiniliselt",37
Autoimmuunne türeoidiit,37
Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega; Riskiaste 2,37
"Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuudulikkusega I aste (organkahjustus III, ülikõrge kardiovaskulaarne risk)",37
"Mittetäielik, tüsistusteta",36
Preprol. oc. utr.,36
Os  .,36
"Crohni tõbi [regionaalne e segmentaarne peensoolepõletik], jämesoole crohni tõbi",35
"Kodarluu üla- [proksimaalse] otsa murd, kinnine",35
