,analysis_name,system_type
4,Hematoloogilised uuringud,blood
6,Hantaviiruse vastased IgG antikehad,blood
7,Kliiniline vereanalüüs,blood
11,"Allergiapaneel, spetsiifiliste IgE antikehade määramine (immunoblot), vereseerumist",blood
16,Ekstraheeritavate tuumaantigeenide vastane IgI seerumis (paneel),blood
23,Kliiniline vere ja glükohemoglobiini analüüs,blood
26,Tuumaantigeenide vastased antikehad,blood
27,Kliinilise keemia uuringud,blood
28,Inhaleeritud allergeenide vastased antikehad,blood
33,Ekstraheeritavate tuumaantigeenide vastane IgG seerumis (paneel),blood
38,"Allergeenide segu tp9 - puuõite vastased IgE antikehad seerumis (lepp, kask, sarapuu, tamm, paju)",blood
41,Luupusantikoagulandid,blood
44,Immuunmeetoditel uuringud,blood
45,Autoimmuundiagnostika,blood
50,Vaba androgeeni indeks,blood
52,Glükoosi taluvuse test-1h pärast glükoosi manustamist,blood
55,ABO-veregrupi ja Rh(D) korduv määramine,blood
59,Vereäige mikroskoopiline uuring,blood
64,"Epidermaalsete allergeenide (paneel 70: merisea, jänese, hamstri epiteel, rott, hiir) vastane IgE",blood
65,D-dimeerid,blood
66,Spetsiifiline IgE munavalge,blood
69,Vere automaatuuring 5-osalise leukogrammiga,blood
72,HDL -kolesterool,blood
73,Epstein-Barr viiruse kapsiidi antigeeni vastane IgM seerumis,blood
78,Immuunmeetoditel põhinevad uuringud,blood
79,glükoos paastuveres,blood
80,Kolmiktest (AFP ja hCG ja fE3 määramine) PRISCA programmiga,blood
81,Vaba Türoksiin,blood
82,Tsüklilise tsitrulleritud peptiidi vastased antikehad,blood
83,Valkude fraktsioonid seerumis elektroforeetiliselt,blood
85,Mycoplasma pneumoniae IgM antikehad,blood
89,Glükoos plasmas,blood
93,CBC-5Diff Hemogramm viieosalise leukogrammiga,blood
94,Vereäige mikroskoopia,blood
99,Bordetella pertussise vastane IgG,blood
102,Immuunuuringud,blood
103,fPSA Vaba prostataspetsiifiline antigeen seerumis,blood
106,20 toiduallergeeni,blood
108,Kaltsium (ioniseeritud),blood
111,Etanool vereplasmas,blood
113,Aluseline fosfataas seerumis,blood
115,Türeoidperoksüdaasivastane IgG seerumis,blood
116,Silelihaskoe vastased antikehad,blood
117,D-hepatiidi viiruse RNA veres,blood
124,Tsütomegaloviiruse DNA hulk veres,blood
128,Chlamydia pneumoniae vastased IgG antikehad,blood
130,Vere automaatuuring 3-osalise leukogrammiga,blood
134,adenokortikotroopne hormoon plasmas,blood
136,Chlamydophila pneumoniae vastane IgA seerumis,blood
138,Biokeemia analüüs,blood
142,Hematoloogia labori analüüsid,blood
143,Epstein-Barr viiruse vastane IgM IgG seerumis,blood
144,Gram-positiivsete bakterite DNA veres (real-time PCR-meetodil,blood
151,Treponema pallidum mittespetsiifilised antikehad,blood
154,Hemoglobiini fraktsioonid venoosses veres,blood
164,Hemogramm patoloogiline (mikroskoopia),blood
166,"Maksa autoimmuunhaigustega seotud IgA, IgM, IgG seerumis",blood
170,S-Urea,blood
171,Doonorvere sobivusproov geeltehnikaga,blood
180,Echinococcus-vastane IgE,blood
183,Hemogramm viieosalise leukogrammiga,blood
185,+Valkude fraktsioonid seerumis elektroforeetiliselt,blood
191,Üksikallergeeni f49 (õun) vastased IgE antikehad seerumis,blood
196,Prolaktiin,blood
200,Elektroforeetiline uuring,blood
202,Vere automaatuuring leukogrammita,blood
206,Vere automaatuuring 5-osalise leukogrammiga ja retikulotsüütidega,blood
207,Erütrotsütaarsete antikehade sõeltest geeltehnikaga,blood
221,Valkude fraktsioonid seerumis,blood
227,Hemogramm kolmeosalise leukogrammiga,blood
230,Koe transglutaminaasi vastased IgA antikehad,blood
233,Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga,blood
235,Ferritiin seerumis,blood
236,Rh-fenotüübi määramine,blood
237,Antikehad HBsAg vastu,blood
242,Aktiveeritud osalise tromboplastiini aeg,blood
253,Gliadiinivastased IgA antikehad,blood
255,Happe-alus tasakaal,blood
259,Laktoosi taluvuse test,blood
261,Välisanalüüsid,blood
267,Biokeemia labor,blood
279,Protrombiini indeks,blood
293,Aldosteroon seerumis,blood
295,Seente DNA veres,blood
299,Angiotensiini konverteeriv ensüüm seerumis,blood
301,B hepatiidi viiruse pinnaantigeen,blood
303,PSA Prostataspetsiifiline antigeen,blood
304,Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,blood
305,LTKH allhanked,blood
313,P-BNP,blood
323,Automaatuuring,blood
329,C-reaktiivne valk,blood
339,Veritsusaeg,blood
344,Biokeemilised uuringud,blood
348,Hemostasiogramm,blood
349,Apelsinivastane IgE,blood
354,Hemogramm,blood
355,Porgandi vastane IgE seerumis,blood
362,"Spetsiifiline IgE toiduallergeenide paneeli suhtes(munavalge,piim,kala,nisu-jahu,maapähkel,sojauba) seerumis",blood
367,immunoglobuliin G,blood
370,Varicella Zosteri vastased IgM-antikehad seerumis,blood
382,Triglütseriidid,blood
385,Laboratoorne hematoloogia,blood
389,Hemogramm (mikroskoopia),blood
404,ANCA paneel,blood
405,S-aCh.trach. IgA(Q),blood
413,,blood
414,kaltsium,blood
417,Bilirubiin seerumis,blood
421,kreatiinkinaasi MB isoensüümi aktiivsus,blood
424,protrombiini akt. ja INR,blood
428,Raud seerumis,blood
430,Koorioni gonadotropiin,blood
436,Chlamydia trachomatis'e vastased IgM antikehad,blood
437,Põletikulise soolehaiguse autoantikehad seerumist,blood
