analysis_name,parameter_name,parameter_code,unit,analyte,property,system,time_aspect,scale
Hemogramm viieosalise leukogrammiga,MONO%,B-CBC-5Diff,%,Mono,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,PLT(Trombotsüütide arv),2185,10 U/l,PLT,unknown,Bld,Pt,Qn
Mikrobioloogilised uuringud,Ca-Ae(Aeroobse mikrofloora külv (kateetrilt)),1740,,,,urine,,
Mikrobioloogilised uuringud,Tsefuroksiim (suukaudne)(Tsefuroksiim (suukaudne)),65457,,,,urine,,
Hematoloogilised uuringud,PD(Trombotsüütide jaotuvus mahujärgi. e. trombotsüütide anisotsütoosimäär),31,fL,PDW,EntVol,Bld,Pt,Qn
Hematoloogilised uuringud,B-Hb(Hemoglobiini kontsentratsioon),158,g/l,HGB,MCnc,Bld,Pt,Qn
Hematoloogilised uuringud,Basofiilid,1138,%,Baso,NCnc,Bld,Pt,Qn
Hematoloogilised uuringud,MCV(Erütrotsüüdi keskmine maht),610,fL,MCV,EntVol,Bld,Pt,Qn
Mikrobioloogilised uuringud,Gentamütsii,561,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,TMP-SMX(TMP-SMX),64075,,,,urine,,
Mikrobioloogilised uuringud,"Cm-Ctr-PCR(Chlamydia trachomatis, PCR (emakakaelakanalikaapest))",1849,,,,urine,,
Kliiniline vereanalüüs,HGB,HGB,,HGB,MCnc,Bld,Pt,Qn
Vere automaatuuring 5-osalise leukogrammiga,NEUT#,B-CBC+Diff,10^9/l,Neut,Num,Bld,Pt,Qn
Hematoloogilised uuringud,Neutrofiilide abs arv,514,x 10 9/L,Neut,Num,Bld,Pt,Qn
Punktaadi analüüs,PrcF-PMN%,PrcF-PMN%,,,,Bld,Pt,Qn
Immuunmeetoditel uuringud,Antigeen PNMA2(Ma2/Ta)-vastane IgG seerumist/Neuronaalsed au,,,,,Bld,Pt,Qn
Uriini uuringud,Bilirubiin,783,,Bil,SCnc,urine,,
Uriini analüüs,Lima,,,,,urine,,
uriini valgu ja sademega,uriini sade,U-uriini_valgu_ja_sademega,-,,,urine,,
Hematoloogilised uuringud,B-IRF(Ebaküpsete retikulotsüütide fraktsioon),146169,%,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,F-Sal(Salmonella sp külv (väljaheitest)),2113,,,,urine,,
Mikrobioloogilised uuringud,Tsefuroksiim (parenteraalne)(Tsefuroksiim (parenteraalne)),65301,,,,Bld,Pt,Qn
Uriini uuringud,"U-pH(Uriini pH, üks parameeter 10 parameetrilisel testribal)",7,,pH,LsCnc,urine,,
Uriini uuringud,U-SG(Uriini erikaal),3897,g/cm³,Erikaal SG,Rden,urine,,
Hematoloogilised uuringud,Reaktiivsed lümfotsüüdi,1661,%,,,Bld,Pt,Qn
Immuunmeetodi uuringud,Vitamiin B12,5478,,,,Bld,Pt,Qn
Mikrobioloogilised uuringud,Sp-Aer(Aeroobide uuring rögast),752,,,,urine,,
Vere automaatuuring 5-osalise leukogrammiga,HCT Hematokritt,B1-A5Diff,%,HCT,VFr,Bld,Pt,Qn
