id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la;sentence_analysis_data;peasona;verb;label
2;Train/aja_ee199920_osa_1_ud211.conllu;Suusakeskus hakkas poolest talvest tööle ja muutus üsna ruttu populaarseks .;19;34;poolest talvest;free;Suusakeskus hakkas tööle ja muutus üsna ruttu populaarseks .;100.0;100.0;100.0;('talvest', 3, 2, 'hakkas', 2);talvest;hakkas;1
6;Train/aja_ee200110_osa_4_ud211.conllu;Äkki ongi preili Mikomägi maailma kõige seksikam elusolev naine .;26;33;maailma;free;Äkki ongi preili Mikomägi kõige seksikam elusolev naine .;100.0;100.0;100.0;('maailma', 4, 7, 'ongi', 2);maailma;ongi;1
9;Train/aja_ee199920_osa_2_ud211.conllu;Ivo ise otsustas eriüksusest ära tulla aasta eest .;39;49;aasta eest;free;Ivo ise otsustas eriüksusest ära tulla .;100.0;100.0;100.0;('aasta', 6, 3, 'otsustas', 3);aasta;otsustas;1
16;Train/tea_dr8047.conllu;Huvitava faktina märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni kalaõli saanud broileritel .;134;160;kalaõli saanud broileritel;free;Huvitava faktina märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni .;;;;('broileritel', 22, 3, 'märkasid', 3);broileritel;märkasid;1
20;Train/tea_AA_05_6_ud211.conllu;Seetõttu usub autor , et antud valdkond peaks jääma alati teatud mõttes poolautomaatseks ning täisautomaatsena oleks süsteemil mõtet ainult ettevõttesisesena ( mille kitsad piirid seadistab eelnevalt siiski spetsialist ) .;58;71;teatud mõttes;free;Seetõttu usub autor , et antud valdkond peaks jääma alati poolautomaatseks ning täisautomaatsena oleks süsteemil mõtet ainult ettevõttesisesena ( mille kitsad piirid seadistab eelnevalt siiski spetsialist ) .;92.9;100.0;92.9;('mõttes', 11, 9, 'jääma', 9);mõttes;jääma;1
27;Train/tea_geofyysika.conllu;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude kasulike märkuste ja soovituste eest , mida antud tekstis on arvestatud .;123;136;antud tekstis;free;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude kasulike märkuste ja soovituste eest , mida on arvestatud .;85.7;85.7;90.5;('antud', 18, 20, 'arvestatud', 22);antud;arvestatud;1
29;Train/aja_sloleht20071217_ud211.conllu;USA teadlased peavad pikaealisuse puhul head füüsilist vormi saledusest tähtsamaks .;21;39;pikaealisuse puhul;free;USA teadlased peavad head füüsilist vormi saledusest tähtsamaks .;88.9;88.9;100.0;('pikaealisuse', 3, 3, 'peavad', 3);pikaealisuse;peavad;1
36;Train/aja_sloleht20071217_ud211.conllu;Selle tegevus toimub Londonis ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet Shakespeare'i ja tema loomingu kohta .;111;147;Shakespeare'i ja tema loomingu kohta;free;Selle tegevus toimub Londonis ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet .;94.4;94.4;100.0;"(""Shakespeare'i"", 17, 14, 'andes', 14)";Shakespeare'i;andes;1
38;Train/aja_epl20061216_ud211.conllu;Pärnust ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;8;24;ööl vastu reedet;free;Pärnust üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;85.7;90.5;95.2;('reedet', 3, 2, 'jäi', 8);reedet;jäi;1
39;Train/aja_epl20061216_ud211.conllu;Pärnust ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;45;102;Eesti meteoroloogia ja hüdroloogia instituudi ennustatust;free;Pärnust ööl vastu reedet üle käinud torm jäi mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;83.3;88.9;88.9;('ennustatust', 13, 8, 'jäi', 8);ennustatust;jäi;1
40;Train/aja_luup200106_osa_6_ud211.conllu;27 eestimaalast olid jõudnud endale soetada miljonikroonise auto .;29;35;endale;free;27 eestimaalast olid jõudnud soetada miljonikroonise auto .;100.0;100.0;100.0;('endale', 4, 6, 'soetada', 6);endale;soetada;1
42;Train/aja_ee200110_osa_8_ud211.conllu;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";37;62;XL-i peatsest sulgemisest;free;"1993. aasta lõpus raporteeriski Post : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";87.5;91.7;91.7;('sulgemisest', 7, 4, 'raporteeriski', 4);sulgemisest;raporteeriski;1
49;Train/aja_luup200202_osa_4_ud211.conllu;Veidi enne seda lennutasid venelased ameeriklaste ehmatuseks kosmosesse esimese maavälise satelliidi .;37;60;ameeriklaste ehmatuseks;free;Veidi enne seda lennutasid venelased kosmosesse esimese maavälise satelliidi .;100.0;100.0;100.0;('ehmatuseks', 6, 4, 'lennutasid', 4);ehmatuseks;lennutasid;1
53;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Viisteist sekundit enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;0;18;Viisteist sekundit;free;enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;87.5;87.5;87.5;('Viisteist', 0, 2, 'teatati', 6);Viisteist;teatati;1
55;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Viisteist sekundit enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;46;56;uuritavale;free;Viisteist sekundit enne igat mõõtmist teatati eesseisvast protseduurist .;100.0;100.0;100.0;('uuritavale', 6, 6, 'teatati', 6);uuritavale;teatati;1
62;Dev/aja_ml200247_osa6_ud211.conllu;- Politsei suunas Tallinna tänavaile kaks korda rohkem patrulle .;37;47;kaks korda;free;- Politsei suunas Tallinna tänavaile rohkem patrulle .;25.0;25.0;50.0;('kaks', 5, 7, 'suunas', 3);kaks;suunas;1
64;Train/aja_luup200202_osa_1_ud211.conllu;Selles valguses on üsna loomulik , et läinud aasta tõi fookusesse uue mõiste “ teine Eesti ” .;0;15;Selles valguses;free;on üsna loomulik , et läinud aasta tõi fookusesse uue mõiste “ teine Eesti ” .;100.0;100.0;100.0;('Selles', 0, 2, 'on', 3);Selles;on;1
70;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;147;150;tal;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;95.6;95.6;100.0;('tal', 28, 34, 'arenenud', 34);tal;arenenud;1
71;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;151;166;juba enne sündi;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;97.7;97.7;100.0;('juba', 29, 32, 'arenenud', 34);juba;arenenud;1
74;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;223;239;edaspidises elus;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub arvestada .;95.5;95.5;100.0;('edaspidises', 42, 44, 'arvestada', 45);edaspidises;arvestada;1
79;Dev/aja_luup200009_ud211.conllu;Kell pool viis hommikul tuli laudas kohal olla .;29;35;laudas;free;Kell pool viis hommikul tuli kohal olla .;50.0;75.0;62.5;('laudas', 5, 8, 'olla', 8);laudas;olla;1
80;Train/aja_luup200106_osa_3_ud211.conllu;Kas selleks on Eestis praegu piisavalt vajadust ?;15;21;Eestis;free;Kas selleks on praegu piisavalt vajadust ?;100.0;100.0;100.0;('Eestis', 3, 2, 'on', 3);Eestis;on;1
81;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;19;60;asünkroonses andmeskalaarses protsessoris;free;Teisalt aga , kuna iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;88.1;90.5;97.6;('asünkroonses', 4, 7, 'töötleb', 10);asünkroonses;töötleb;1
