dirty_code	loinc_code(T-luhend)
AFP(Alfa-fetoproteiin)	S,P-AFP
ALAT(Alaniini aminotransferaas seerumis)	S,P-ALAT
Amikatsiin(Amikatsiin)	Is-Amikacin
Amoksitsilliin+klavulaanhape(Amoksitsilliin+klavulaanhape)	Is-Amoxicillin+Clavulanate
Ampitsilliin(Ampitsilliin)	Is-Ampicillin
Ampitsilliin+sulbaktaam(Ampitsilliin+sulbaktaam)	Is-Ampicillin+Sulbactam
Amulaas(Amulaas uriinis)	S,P-Amyl
APTT(Aktiveeritud osalise tromboplastiini aeg)	P-APTT
Asitromutsiin(Asitromutsiin)	Is-Azithromycin
BASO%(BASO%)	B-Baso%
BASO(Basofiilid protsent)%	B-Baso%
 B-Baso#(Basofiilide arv)	B-Baso#
B-Baso(Basofiilide arv)	B-Baso#
B-Baso#(Basofiilide arv)	B-Baso#
b-BASO#(basofiilidearv)	B-Baso#
 B-Baso%(Basofiilide suhtarv)	B-Baso%
B-Baso(Basofiilide suhtarv)	B-Baso%
B-Baso%(Basofiilide suhtarv)	B-Baso%
b-BASO%(basofiilidesuhtarv)	B-Baso%
B-CyA(Tsuklosporiin)	B-CyA
B-CyA(tsuklosporiinA)	B-CyA
 B-Eo#(Eosinofiilide arv)	B-Eo#
B-Eo(Eosinofiilide arv)	B-Eo#
B-Eo#(Eosinofiilide arv)	B-Eo#
b-EO#(eosinofiilidearv)	B-Eo#
 B-Eo%(Eosinofiilide suhtarv)	B-Eo%
B-Eo(Eosinofiilide suhtarv)	B-Eo%
B-Eo%(Eosinofiilide suhtarv)	B-Eo%
b-EO%(eosinofiilidesuhtarv)	B-Eo%
B-ESR(Erutrotsuutide settekiirus)	B-ESR
b-ESR(Erutrotsuutide settekiirus)	B-ESR
B-HbA1c(glukohemoglobiin)	B-HbA1c
 B-Hb(Hemoglobiin veres)	B-Hb
B-Hb(Hemoglobiin veres)	B-Hb
 B-Hct(Hematokrit)	B-Hct
B-Hct(Hematokrit)	B-Hct
b-HCT(hematokrit)	B-Hct
 B-Hct(Hematokritt)	B-Hct
B-Hct(Hematokritt)	B-Hct
B-IG#(Ebak�psete granulots��tide arv)	B-IG#
B-IG%(Ebak�psete granulots��tide suhtarv)	B-IG%
b-IG(Ebakupsed granulotsuudid)	B-IG#
 B-IG#(Ebakupsete granulotsuutide arv)	B-IG#
B-IG(Ebakupsete granulotsuutide arv)	B-IG#
B-IG#(Ebakupsete granulotsuutide arv)	B-IG#
b-IG(Ebakupsete granulotsuutide arv)	B-IG#
 B-IG%(Ebakupsete granulotsuutide suhtarv)	B-IG%
B-IG(Ebakupsete granulotsuutide suhtarv)	B-IG%
B-IG%(Ebakupsete granulotsuutide suhtarv)	B-IG%
b-IG%(Ebakupsete granulotsuutide suhtarv)	B-IG%
b-IG%(Ebakups.granulotsuutide %)	B-IG%
Bilirubiin(Bilirubiin)	U-Bil strip
B-IRF(Ebakupsete retikulotsuutide fraktsioon)	B-IRF
B-K(Kaalium)	B-K
B-Lymph#(L�mfots��tide arv)	B-Lymph#
B-Lymph%(L�mfots��tide suhtarv)	B-Lymph%
 B-Lymph#(Lumfotsuutide arv)	B-Lymph#
B-Lymph(Lumfotsuutide arv)	B-Lymph#
B-Lymph#(Lumfotsuutide arv)	B-Lymph#
 B-Lymph%(Lumfotsuutide suhtarv)	B-Lymph%
B-Lymph(Lumfotsuutide suhtarv)	B-Lymph%
B-Lymph%(Lumfotsuutide suhtarv)	B-Lymph%
B-MCV(Er�trots��tide keskmine maht)	B-MCV
B-MCV(Erutrotsuudi keskmine maht)	B-MCV
 B-MCV(Erutrotsuutide keskmine maht)	B-MCV
B-MCV(Erutrotsuutide keskmine maht)	B-MCV
B-Mn(Mangaan taisveres)	B-Mn
B-Mono#(Monots��tide arv)	B-Mono#
B-Mono%(Monots��tide suhtarv)	B-Mono%
 B-Mono#(Monotsuutide arv)	B-Mono#
B-Mono(Monotsuutide arv)	B-Mono#
B-Mono#(Monotsuutide arv)	B-Mono#
b-MONO#(monotsuutidearv)	B-Mono#
 B-Mono%(Monotsuutide suhtarv)	B-Mono%
B-Mono(Monotsuutide suhtarv)	B-Mono%
B-Mono%(Monotsuutide suhtarv)	B-Mono%
b-MONO%(monotsuutidesuhtarv)	B-Mono%
b-MPV(trombots.keskminemaht)	B-MPV
B-MPV(Trombots��tide keskmine maht)	B-MPV
 B-MPV(Trombotsuutide keskmine maht)	B-MPV
B-MPV(Trombotsuutide keskmine maht)	B-MPV
B-Na(Naatrium)	B-Na
 B-Neut#(Neutrofiilide arv)	B-Neut#
B-Neut(Neutrofiilide arv)	B-Neut#
B-Neut#(Neutrofiilide arv)	B-Neut#
b-NEUT#(neutrofiilidearv)	B-Neut#
 B-Neut%(Neutrofiilide suhtarv)	B-Neut%
B-Neut(Neutrofiilide suhtarv)	B-Neut%
B-Neut%(Neutrofiilide suhtarv)	B-Neut%
b-NEUT%(neutrofiilidesuhtarv)	B-Neut%
b-NRBC%(normoblastidesuhtarv)	B-NRBC%
B-PCT(Trombokrit)	B-Pct
