"_token_","_type_"
"string","string"
"biopsiat","unit"
"sigaretti","unit"
"kassetti","unit"
"pakki","unit"
"tassi","unit"
"klaasi","unit"
"embrüot","unit"
"sekundi","time"
"seanssi","unit"
"päsmakest","unit"
"šunti","unit"
"suitsu","unit"
"PROTSEDUURI","unit"
"proovitükki","unit"
"neeruarterit","unit"
"originaali","unit"
"portaalvälja","unit"
"kruusi","unit"
"tasapinda","unit"
"pudelit","unit"
"karpi","unit"
"implantaati","unit"
"veenišunti","unit"
"aastat","time"
"päeva","time"
"korda","time"
"kuud","time"
"nädalat","time"
"kraadi","unit"
"tundi","time"
"minutit","time"
"palli","unit"
"tabletti","unit"
"sekundit","time"
"tilka","unit"
"lööki","unit"
"meetrit","unit"
"grammi","unit"
"punkti","unit"
"liitrit","unit"
"KORDA","time"
"kapslit","unit"
"mikrogrammi","unit"
"põikisõrme","unit"
"kilo","unit"
"ühikut","unit"
"ampulli","unit"
"ravipäeva","time"
"AASTAT","time"
"PÄEVA","time"
"KUUD","time"
"õhtut","time"
"aasta","time"
