analysis_name,parameter_unit,elabor_t_lyhend,t_yhik
Egfr (Ckd-Epi),mL/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
Egfr (Ckd-Epi),ml/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
"Egfr (Ckd-Epi, Poct)",mL/min/1.73m2,"eGFR (CKD-EPI, POCT)",mL/min/1.73m2
"Egfr (Crea, Ckd-Epi)",mL/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
"Egfr (Crea, Ckd-Epi)",ml/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
"Egfr (Crea, Ckd-Epi, Poct)",mL/min/1.73m2,"eGFR (CKD-EPI, POCT)",mL/min/1.73m2
"Egfr (Cysc, Ckd-Epi)",mL/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
Egfr Hinnanguline Glomerulaarfiltratsiooni Kiirus,mL/min/1.73m2,eGFR,mL/min/1.73m2
Egfr (Mdrd),mL/min/1.73m2,eGFR,mL/min/1.73m2
Egfr (Mdrd):,mL/min/1.73m2,eGFR,mL/min/1.73m2
Fs-Crea:,umol/L,"S,P-Crea",umol/L
Hinnangulina Glomerulaarfiltratsiooni Kiirus(Egfr),mL/min/1.73m2,eGFR,mL/min/1.73m2
Hinnanguline Glomerulaarfiltratsiooni Kiirus,mL/min/1.73m2,eGFR,mL/min/1.73m2
Hinnanguline Glomerulaarfiltratsiooni Kiirus (Ckd-Epi),ml/min/1.73m2,eGFR (CKD-EPI),mL/min/1.73m2
Hinnanguline Glomerulaarfiltratsiooni Kiirus (Egrf),mL/min/1.73m2,eGFR,mL/min/1.73m2
Hinnanguline Glomerulaarfiltratsooni Kiirus (Mdrd),mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniin,mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniin,umol/L,"S,P-Crea",umol/L
Kreatiniin:,umol/L,"S,P-Crea",umol/L
Kreatiniin Dialüüsivedelikus,umol/L,pDiaF-Crea,umol/L
Kreatiniin /Egfr,mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniin /Egfr,umol/L,"S,P-Crea",umol/L
Kreatiniini Grupp,mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniini Grupp,umol/L,"S,P-Crea",umol/L
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,ug/L,"S,P-CK-MBm",ug/L
"Kreatiniinikliirens (1,73 M2)",mL/min/1.73m2,"dU-S-Crea (1,73 m2)",mL/min/1.73m2
Kreatiniin Ja Egfr Seerumis,"mL/min1,73m³",eGFR,mL/min/1.73m2
Kreatiniin Ja Egfr Seerumis,umol/L,"S,P-Crea",umol/L
Kreatiniin Ja Hinnanguline Glomerulaarfiltratsiooni Kiirus,mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniin Ja Hinnanguline Glomerulaarfiltratsiooni Kiirus,umol/L,"S,P-Crea",umol/L
Kreatiniin Kinaasi Mb Isoensüümi Mass,ng/mL,"S,P-CK-MBm",ug/L
Kreatiniin Kinaasi Mb Isoensüümi Mass Seerumis/Plasmas,ng/mL,"S,P-CK-MBm",ug/L
Kreatiniin Peritoneaaldialüüsivedelikus,umol/L,pDiaF-Crea,umol/L
Kreatiniin (Poct),umol/L,B-Crea (POCT),umol/L
Kreatiniin Seerumis/Plasmas,mL/min/1.73m2,eGFR,mL/min/1.73m2
Kreatiniin Seerumis/Plasmas,umol/L,"S,P-Crea",umol/L
Kreatiniin Uriinis,mmol/L,U-Crea,mmol/L
Kreatiniin Uriinis,umol/L,U-Crea,mmol/L
S-Crea:,umol/L,"S,P-Crea",umol/L
S-Crea (Egfr),mL/min/1.73m2,eGFR,mL/min/1.73m2
S-Crea (Egfr),umol/L,"S,P-Crea",umol/L
S-Kreatiniin,umol/L,"S,P-Crea",umol/L
U-Crea,mmol/L,U-Crea,mmol/L
U-Prot/U-Creat,mmol/L,U-Crea,mmol/L
Valk/Kreatiniin Uriinis,g/mol,U-Prot/U-Crea,g/mol
Albumiini Ja Kreatiniini Suhe,mg/d,dU-Alb,mg/d
Albumiini Ja Kreatiniini Suhe Uriinis,mg/mmol,U-Alb/U-Crea,g/mol
Albumiini-Kreatiniini Suhe,mg/mmol,U-Alb/U-Crea,g/mol
Albumiini-Kreatiniini Suhe Uriinis,mg/L,U-Alb,mg/L
Albumiini-Kreatiniini Suhe Uriinis,mg/mmol,U-Alb/U-Crea,g/mol
Albumiini-Kreatiniini Suhe Uriinis,mmol/L,U-Crea,mmol/L
Albumiin/Kreatiniin Uriinis,g/mol,U-Alb/U-Crea,g/mol
