.,292
),256
(,254
",",113
-,89
ja,54
/,42
VES,38
?,32
SVES,24
teadmata,22
dex,21
sin,19
siinusrütm,19
ekstrasüstoolia,19
a.,18
+,17
vasaku,15
afaasia,15
keskmise,15
kerge,15
jala,14
2,14
inf,14
varustusalal,13
;,13
aeg,13
Vasaku,13
raske,13
soone,12
Parema,12
alusel,12
puudulikkus,11
ajuarteri,11
vasak,11
paremal,11
3,10
jalg,10
anamneesis,10
amputeeritud,10
koronaarhaigus,9
vasakul,9
parema,9
ventrikulaarne,9
1,9
Muu,9
täpsustamata,9
mõõdukas,9
dilatatsioon,8
Ajuinfarkt,8
sensomotoorne,8
:,8
poplitea,8
et,8
>,8
enneaegne,8
depolarisatsioon,8
ventrikulaarsed,8
Anamneesis,8
Varasem,8
pulmonaalhüpertensioon,8
infarkt,7
vatsakese,7
cerebri,7
hemisfääris,7
kodade,7
v,7
Aterosklerootiline,7
4,7
kardioversiooniga,7
müokardiinfarkt,7
hemorraagia,7
tüüpi,7
Varices,7
cruris,7
müokardiit,7
dateerimata,7
ACM,6
chr,6
Äge,6
Vasakus,6
parempoolne,6
hemipleegia,6
Vasakul,6
südamehaigus,6
Occlusio,6
emboolia,6
tromboos,6
raskusega,6
Korduv,6
aste,6
Aneurysma,6
dextri,6
ES,6
Varem,6
läbipõetud,6
Üksikud,6
tahhükardia,6
Muud,6
ekstrasüstolid,6
kuni,6
taastus,5
FA,5
Infarctus,5
pristinus,5
järgne,5
iliaca,5
taastunud,5
täpsustatud,5
KATE,5
prolaps,5
entsefalopaatia,5
süvaveenide,5
VES-d,5
korduvad,5
m,5
ateroskleroos,5
membri,5
keskmine,5
Alajäsemete,4
G46,4
Cardiomyopathia,4
A,4
Thrombosis,4
myocardii,4
bigeminia,4
motoorne,4
sanata,4
elektrilise,4
Siinusrütm,4
a,4
ei,4
käe,4
parem,4
femoralis,4
Keskmise,4
oklusioon,4
ühe,4
Ventrikulaarne,4
Aordi,4
e,4
sinistri,4
vasakus,4
aCI,4
sääre,4
klapi,4
flebiit,4
Sekundaarne,4
sündroom,4
paranenud,4
fixata,4
haavand,4
supraventrikulaarsed,4
säärest,4
Vasak,4
südamerütmitused,4
sekundaarne,4
lümfiturse,4
mainimata,4
Kerge,4
RBBB,4
pingutus,4
reiest,4
Välised,4
LOWN,4
Vasemal,3
cordis,3
persist,3
Mõlema,3
alajäsemed,3
Ajutüve,3
tahhüfrekventne,3
laperdusarütmia,3
',3
in,3
reg,3
Inf,3
Osaline,3
de,3
koronaartõbi,3
interna,3
Mõlemal,3
"<ANONYM id=""1"" type=""per"" morph=""_Y_ ?""/>",3
piirkonnas,3
Ravitud,3
ajutüve,3
Totaalne,3
Paremal,3
hüpertensioon,3
Isheemiline,3
bigeminus,3
0,3
aneurüsm,3
ülejuhtega,3
taastatud,3
Supraventrikulaarne,3
Parem,3
episood,3
Intratserebraalne,3
vatsakeste,3
kahjustus,3
ehhokardiograafia,3
poolkeras,3
pleegia,3
reie,3
SR,3
---,3
fix,3
supraventrikulaarne,3
PQ,3
hetkel,3
süvaveenitromboos,3
Sves,3
Vaskulaarne,3
Supraventrikulaarsed,3
SVES-d,3
Ekstrasüstoolia,3
Aeg,3
Kapillaarset,3
jalad,3
Ves,3
isheemiline,3
Läbipõetud,3
säär,3
praegu,3
Kopsuarteri,3
ägedat,3
kopssüdant,3
femoris,3
bilateralis,3
D,3
claudicatio,3
intermittens,3
jääknähud,3
SVT,3
op,3
Kr,3
Syndroma,3
Ulcus,3
utr,3
10,3
tagasi,3
sage,3
Episoodid,3
sisemised,3
hemorroidid,3
Inferioorne,3
säärel,3
Täpsustamata,3
Postoperatiivne,3
operata,3
Sage,3
aordi,3
ventr,3
Extrasystolia,2
Fa,2
Bradükardia,2
M,2
vertebrobasilaarne,2
väikeaju,2
ataksia,2
ebaselge,2
dilatativa,2
bulbaarparalüüs,2
Bil,2
sinus,2
venosi,2
fr,2
piirkond,2
dilatans,2
vasemal,2
Mõlemas,2
Insuff,2
Tahhüfrekventne,2
bilat,2
Mõlemad,2
Elektrilise,2
Muude,2
superficialis,2
Kooma,2
Spastiline,2
2.,2
aordiklapi,2
Peaajuinfarkt,2
tõttu,2
[,2
osa,2
],2
lõhustav,2
explantatis,2
osaline,2
gangreen,2
tekkeaeg,2
Dex,2
Thrombembolia,2
läbimurdega,2
süsteemi,2
F-P,2
S,2
siinusbradükardia,2
ACD,2
varustusala,2
dextra,2
Vasakpoolse,2
kehapoole,2
Embolia,2
kriis,2
parees,2
communis,2
kopsuturse,2
labajala,2
jalal,2
VE,2
lühikese,2
regurgitatsiooniga,2
65,2
angioma,2
Hetkel,2
tromboflebiit,2
vas,2
Ventrikulaarsed,2
V.,2
kriitiline,2
isheemia,2
peaaju,2
mikroangiopaatia,2
SVE,2
tasakaalu,2
ves,2
risk,2
"<ANONYM id=""0"" type=""per"" morph=""_H_ sg n""/>",2
reiel,2
harva,2
Troofiline,2
Haemorrhoides,2
es,2
x2,2
põetud,2
vasema,2
amputatsioon,2
Op,2
"<ANONYM id=""0"" type=""per"" morph=""_Y_ ?""/>",2
M. Hypertensivus,2
vaskulaarne,2
mõlemal,2
bioprotees,2
sves,2
üksikud,2
ravitud,2
"<ANONYM id=""1"" type=""per"" morph=""_H_ sg n""/>",2
