I11.9  Südamekahjustusega hüpertooniatõbi.,21
Anamneesis,20
VES,18
( mõõdukas ),15
-> sanata,14
C2a,13
RBBB,12
(-),11
Insuff c/v chr,10
Varem läbipõetud,10
Mikroalbum +,10
-mõõdukas,10
(sanata),9
Ventrikulaarne ekstrasüstoolia,9
Sves,9
(fixata),9
( FA persist),8
SVES,8
(min NLV lamenemine),8
"(marevaniseeritud, cordaron ravil)",7
VES+SVES,7
( mõõdukas),7
( kerge),7
Ventrikulaarsed,6
Risk -#,6
C2s,6
(korduvad),6
( vasakul ),6
--pingutus,6
Alajäsemete vaariksid ha,5
. Äge vertebrobasilaarne puudulikkus.,5
"<ANONYM id=""0"" type=""per"" morph=""_H_ sg n;_H_ sg n""/>",5
VES.,5
Sääre veresoonte allrgiline vaskuliit,5
Supraventrikulaarsed,5
". <ANONYM id=""0"" type=""per"" morph=""_A_ sg g""/> lisarisk",5
Ves+sves,5
( anamneesis),5
"( inferioorne, aeg teadmata)",5
Kr südamepuudulikkus,5
(kerge),5
Inferioorne,5
Läbipõetud müokardiit,5
(operata),5
/angioomid,5
( Extrasystolia),5
A. iliaca interna bilat.,4
3 soone koronaarhaigus,4
"<ANONYM id=""0"" type=""per"" morph=""_A_ sg n""/> risk",4
"(<ANONYM id=""0"" type=""per"" morph=""_H_ sg n""/> 08.14)",4
Tekkeaeg teadmata,4
C1a,4
Riskigr. 2,4
( vasema käe pindmine flebiit),4
Sanata,4
Algus teadmata.,4
Raske,4
Varem läbipõetud müokardiit,4
2-3 st.,4
Pingutustüüpi,4
Inremitens,4
(Infarktpneumonia paremal kesksagaras),4
Vasakul,3
(+),3
(tahhüfrekventne kodade virvendus- ja laperdusarütmia),3
. MIC,3
Dex,3
Inf myocardii pristinus,3
(kopsuturse),3
SVES+ VES,3
(kriitiline isheemia?),3
Raynaud` sündroom,3
"Vaskulaarne entsefalopaatia väljendunud alumise spastilise parapareesi, tasakaalu - ja põiehäiretega.",3
Sves+ves,3
Üksikud VES-d.,3
Teleangiectasiae,3
. vasema jala amputatsioon säärest.,3
"Muu ja täpsustamata enneaegne depolarisatsioon, ; ventrikulaarsed",3
Ekstrasüstolid; ventrikulaarsed,3
Fixata,3
"Anamneesis, praegu siinusrütm",3
IIst.,3
"(organkahjustuse 3 astae, ülikõrge KV risk)",3
"<ANONYM id=""1"" type=""per"" morph=""_H_ sg n""/>",3
Fikserunud,3
Decomp.,3
Süvenemine,3
Düsartria,3
(anamneesis),3
( persistem ),3
Fix.,3
Isheemiline kardiomüopaatia.,3
( persist.),3
Alajäsemetel.,3
Supraventrikulaarne bigeminus-tüüpi ekstrasüstoolia,3
Vajab jälgimist,3
Vasak jalg amputeeritud,3
Posttrombootiline sündroom,3
. Muud täpsustatud südamerütmitused,3
Muud südamerütmitused e arütmiad.,3
I50.0,3
Tasakaaluhäirega,3
Valdavalt ventrikulaarne ekstrasüstoolia,3
( bradükardia ),3
Bradükardiline,3
Mõlema jala gangreeniga,2
Bradükardia,2
Ajuinfarkt vasakul keskmise ajuarteri varustusalal. Osaline motoorne afaasia.,2
