Koormustestid,299,
-  REFRAKTSIOON         Sph     Cyl      Ax,298,
Rohelise ja sinise triaažikategooriaga haige käsitlus erakorralise meditsiini osakonnas,291,
Koronarograafia,290,
Uriini ribaanalüüs,289,
-  Tuli analüüside vastustele,284,
"Tupe, perineumi ja emakakaela rebendite taastav operatsioon.",283,
ANALÜÜSIDE TELLIMUS,280,
"- HERMLIN, TIIU - D03646 - E370 - sünnitusabi ja günekoloogia",276,
1,275,
-  Üldseisund - hea,272,
,267,
Põhjendus: Histoloogiline uuring,266,
"IRG6001 - RÖ rindkerest PA, AP (otse): Röntgenuuringud",261,
Põhjendus: perh,257,
Muud taastusravi protseduurid,255,
-  Antud anal. vastused-,253,
"- PÄRNA, ENE - D00165 - E110 - dermatoveneroloogia",252,
- -,249,
"- ALLIK, MERLE - D04280",249,
Elektromüograafia,245,
Põhjendus: Histoloogiline uuring.,244,
- kontroll,242,
- REFRAKTSIOON         Sph         Cyl       Ax,240,
"- AUS, ANNELI - D05450 - Laboriarst",240,
- visus,239,
-  Ordineeritud ravi.,236,
"KAEBUSED, KÄESOLEV PROBLEEM",236,
- .,233,
SPIROMEETRIA:,232,
-  Pt. tuli analüüside vastuseid saama.,229,
66801 - Operatsioonipreparaadi väljalõige koos makropreparaadi ja histoloogilise preparaadi kirjeldava diagnoosiga (kuni 3 blokki): Histoloogia,227,
Uriini ribaanalüüs,227,
7903 Röntgeniülesvõte rindkere piirkonnast (üks_ülesvõt,226,
Menetlusradioloogia,222,
"- ALURI, AILEN - D05994 - E370 - sünnitusabi ja günekoloogia",221,
Põhjendus: 6b,219,
Välisgenitaalid: normis,216,
Koloskoopia,216,
Kardioloogilised,211,
,208,
IRU4002 - UH kõhust ja vaagnast: Ultraheli,207,
Holter,205,
Hemogramm 5-osalise leukogrammiga,205,
Keisrilõige.,202,
ANALÜÜSIDE TELLIMUS,201,
- Vajadusel korduv neuroloogi konsult.,200,
-  Patsient pöördus 3D/4D loote ultraheliuuringuks.,198,
"66809 - Papanicolaou meetodil tehtud, skriinija ja patoloogi poolt hinnatud günekotsütoloogiline uuring: Günekotsütoloogia",197,
-  Kontrolli NN-sse 6-8 näd. pärast.,196,
"- KERMES, KADRI - D04278 - Laboriarst",194,
PERIOODILINE TERVISEKONTROLL( dr.Piho):,192,
"-  Nahk lööbeta , lim. kestad puhtad.  Südametoonid  regulaarsed, hea  jõudlusega.",192,
Põhjendus: I67.9 Täpsustamata tserebrovaskulaarne haigus,189,
"- KALS, JAAK - D01775 - E180 - kardiovaskulaarkirurgia",189,
"Röntgeniülesvõte rindkerest (otseülesvõte, PA)",188,
-  Loote sonomorfoloogia normi piires.,187,
- Loote sonomorfoloogia normi piires,186,
ANALÜÜSIDE TELLIMUS,182,
tervise kontroll,182,
- KUVARIGA TÖÖTAMISEL VAJAB PRILLE,182,
"-  Regulaarsed puhkepausid - iga tund 5-7 min. Sirutada, teha venitusharjutusi, vaadata aknast välja kaugusesse.",181,
Tonsillektoomia intubatsioonnarkoosis,180,
-  tervisesport ja õige toitumine,175,
Erütrotsütaarsete antikehade sõeluuring kahe erütrotsüüdiga Ei ole avastatud,175,
PT0025 - Operatsioonimaterjali histoloogiline uuring: Histoloogia,174,
7903 - Röntgeniülesvõte rindkere piirkonnast (üks ülesvõte),174,
: Lümfotsüütide abs arv 1.9 x 10 9/L [norm 1.30 - 3.60],172,
-   Nägemine,171,
- Üldseisund hea.,171,
Suunatud perearsti poolt.,171,
-  Nägemise TABELkontroll,165,
ANALÜÜSIDE TELLIMUS,164,
"IRG7002 - Mammograafia, IRG7002 - Mammograafia: Röntgenuuringud",164,
DIAGNOOS: Rindkereelundid röntgenoloogiliselt patoloogilise leiuta,163,
Uriini analüüs testribaga,163,
"- VAIDE, MAARJA - Laborant",160,
-  KUVARIGA TÖÖTAMISEL VAJAB PRILLE,159,
66800 - Hematoksüliin-eosiin värvinguga biopsiamaterjali uuring (1 blokk): Histoloogia,158,
Konsulteeritud uuring:,158,
Põhjendus: kilpnäärmest,158,
Vererõhu monitooring,157,
HARJUMUSED Tubakatoodete tarbimine: ei suitseta,156,
-  Patsient pöördus loote III trimestri ultraheliuuringuks,156,
-   Nahk  ja limaskestad-puhtad.,156,
,155,
Põhjendus: trauma,155,
Laparoskoopiline koletsüstektoomia,154,
"- LINK, MARE - Laborant",153,
Pöördus kopsutuberkuloosi välistamiseks. Kaebuseid ei ole.,152,
Värvidoppleriga ehhokardiograafia polikliinikus,152,
"- HIRMO, JÜRI - D04041 - E340 - radioloogia",152,
Hemogramm viieosalise leukogrammiga,151,
"- RAAMAT, VILMA - Laborant",150,
Põhjendus: I11.0 Südamekahjustusega hüpertooniatõbi (kongestiivse) südamepuud,147,
PULSSOKSÜMEETRILINE UURING,146,
: Lümfotsüütide abs arv 2.1 x 10 9/L [norm 1.30 - 3.60],145,
: Lümfotsüütide abs arv 1.8 x 10 9/L [norm 1.30 - 3.60],145,
: Lümfotsüütide abs arv 2.0 x 10 9/L [norm 1.30 - 3.60],144,
Kopsudes puhas hingamine,143,
"- KUULPAK, EVE-MAI - D00676 - E330 - pulmonoloogia",142,
Uriini analüüs testribaga,142,
Radioloogi konsultatsioon - vana uuringu kirjeldamine,141,
- Ravinõuanne,141,
-  NILM,141,
: Lümfotsüütide abs arv 1.7 x 10 9/L [norm 1.30 - 3.60],141,
"- MARANDI, MERIKE - Laborant",141,
RF0002 - Täismahus ehhokardiograafia: Funktsionaaldiagnostilised,140,
"- PIIRISILD, ÜLLE - Spetsialist",140,
Karpaalkanali dekompressioon,139,
-  Patsient pöördus loote anatoomiliseks skriininguks.,139,
EKG-Holter-i monitooring,139,
Nimmediski lateraalprolapsi eemaldamine,138,
: Lümfotsüütide abs arv 1.6 x 10 9/L [norm 1.30 - 3.60],136,
: Reumatoidfaktor <15 kU/L [norm ... - 15],136,
"Põhjendus: eesnäärme suurus, jääkuriin, neerud paisu suhtes",135,
- KUVARIGA TÖÖTAMISEL EI VAJA PRILLE,135,
NKNN1 - kolposkoopia: Kolposkoopia,135,
: PT Teostamata % [norm 70 - 130],134,
-  Patsient suunatud taastusravile (7041 x 5).,133,
Põhjendus: prof.,133,
"Pindmiste  haavade ekstsisioon, kirurgiline korrastus",132,
Kollase triaažikategooriaga haige käsitlus erakorralise meditsiini osakonnas,132,
- PAP NILM,132,
- tervisesport,132,
: Lümfotsüütide abs arv 1.5 x 10 9/L [norm 1.30 - 3.60],132,
-  Kontroll 1 kord aastas.,131,
*Uriini uuringud,130,
"- ORASON, KAARIN - Laborant",129,
-  Võib töötada. Otsus    2 aastat,129,
"- NIELÄNDER, MAIRE - Laborant",128,
-  antud anal. vastused,127,
Soovib retsepti.,127,
: Lümfotsüütide abs arv 2.3 x 10 9/L [norm 1.30 - 3.60],126,
Koormustest koormusrajal polikliinikus,126,
"- TIGANIK, VALERI - D03184 - E340 - radioloogia",126,
: Lümfotsüütide abs arv 2.2 x 10 9/L [norm 1.30 - 3.60],126,
Põhjendus: KATE?,125,
"- RAUDSEPP, HELI - D00162 - E110 - dermatoveneroloogia",125,
"- VALGEPEA, TAIMI - Laborant",125,
"- FRIK-AMELIN, MARIANNA - D04416 - E340 - radioloogia",125,
-  Haiguse anamnees.,124,
"- REINUMÄGI, ANNIKA - Laborispetsialist",124,
RASEDUSE ANDMED,123,
Günekoloogiline staatus:,123,
Põhjendus: I48 Kodade virvendus ja laperdus,122,
"- HEEK, VIVIAN",122,
Recovery  1 tund (  max-3 tundi ),122,
- Vastus:,121,
,121,
"- MAKKE, VAHUR - D04448 - E340 - radioloogia",121,
"- MUDA, PIIBE - D04433 - E170 - kardioloogia",119,
- Suunatud perearstile,119,
Kolonoskoopia täielik,118,
UH käht ja vaa UH kõht ja vaagen,118,
: Aeroobne külv: olek Valmis,118,
: CRP (POCT) <5 mg/L [norm ... - 10],117,
Objektiivne leid:,117,
Põhjendus: VIB,116,
RASEDUSE ANDMED,116,
"- Jakovlev, Ülle - D04255 - E120 - endokrinoloogia",115,
"- SÄRE, HELVE - D05327 - E340 - radioloogia",115,
Keisrilõige Kirjeldus:,114,
7907 - Röntgeniülesvõte lülisamba piirkonnast (kaks ülesvõtet),113,
Põhjendus: u,113,
: Lümfotsüütide abs arv 2.4 x 10 9/L [norm 1.30 - 3.60],112,
,112,
"- KAUR, ELLEN",112,
"- Hermlin, Tiiu - D03646 - E370 - sünnitusabi ja günekoloogia",112,
"- KÄNNASTE, LIIA - Spetsialist",112,
Sapipõie laparoskoopiline operatsioon.,112,
RU4002 - Ultraheliuuring kõhu- ja vaagnapiirkonnast: Ultraheli,110,
: Lümfotsüütide abs arv 1.4 x 10 9/L [norm 1.30 - 3.60],110,
Põhjendus: sise VIB,109,
7919 - Röntgeniülesvõte alajäsemetest (kaks ülesvõtet),109,
EEG - elektroentsefalograafia,109,
