,analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count,System,Pleural,Pericardial,SerPla,VenoseBlood,CapillaryBlood,ArterialBlood,CSF,Blood,Plasma,Serum,Urine
0,Hematoloogilised uuringud,nan,Va-Myc,RDW%,,7,,False,False,False,False,False,False,False,True,False,False,False
2,Hematoloogilised uuringud,nan,3477,PLCR,,2,,False,False,False,False,False,False,False,True,False,False,False
3,Hematoloogilised uuringud,nan,71678,RDW%,,4,,False,False,False,False,False,False,False,True,False,False,False
4,Histoloogia,nan,S-ae3,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,True,False
5,Hematoloogilised uuringud,nan,S-GTT-e,RDW%,,7,,False,False,False,False,False,False,False,False,False,True,False
6,Histoloogia,nan,S-a-HAV,Kirjeldus,,2,,False,False,False,False,False,False,False,False,False,True,False
7,Hematoloogilised uuringud,nan,Tsinkveres,PLCR,,1,,False,False,False,False,False,False,False,True,False,False,False
9,Histoloogia,nan,S-TPO-ak,Kirjeldus,,1,,False,False,False,False,False,False,False,False,False,True,False
10,Histoloogia,nan,P1-ATIII,Lokatsioon,,12,,False,False,False,False,False,False,False,False,True,False,False
11,Hematoloogilised uuringud,nan,69588,PLCR,,35,,False,False,False,False,False,False,False,True,False,False,False
13,Histoloogia,nan,S2-IgE-FP7,Kirjeldus,,13,,False,False,False,False,False,False,False,False,False,True,False
14,Hematoloogilised uuringud,nan,1001,PLCR,,1525,,False,False,False,False,False,False,False,True,False,False,False
16,Hematoloogilised uuringud,nan,Un-Pcp,RDW%,,1,,False,False,False,False,False,False,False,True,False,False,False
18,Hematoloogilised uuringud,nan,1715,RDW%,,2,,False,False,False,False,False,False,False,True,False,False,False
20,Hematoloogilised uuringud,nan,30151,RDW%,,3,,False,False,False,False,False,False,False,True,False,False,False
21,Hematoloogilised uuringud,nan,4847,RDW%,,4,,False,False,False,False,False,False,False,True,False,False,False
23,Hematoloogilised uuringud,nan,fS-RF,PLCR,,10,,False,False,False,False,False,False,False,False,False,True,False
25,Hematoloogilised uuringud,nan,Tsinkpaastuplasmas,PLCR,,1,,False,False,False,False,False,False,False,True,False,False,False
26,Histoloogia,nan,S-CRP-hs,Arhiivi number,,5,,False,False,False,False,False,False,False,False,False,True,False
27,Hematoloogilised uuringud,nan,3882,RDW%,,5,,False,False,False,False,False,False,False,True,False,False,False
28,Histoloogia,nan,B-115,Kirjeldus,,9,,False,False,False,False,False,False,False,True,False,False,False
29,Hematoloogilised uuringud,nan,1913,PLCR,,17,,False,False,False,False,False,False,False,True,False,False,False
32,Histoloogia,nan,B1-CBC,Diagnoos 1,,1901,,False,False,False,False,False,False,False,True,False,False,False
33,Histoloogia,nan,S-f245_IgE,Kirjeldus,,12,,False,False,False,False,False,False,False,False,False,True,False
34,Hematoloogilised uuringud,nan,"S,P-CA_19-9",RDW%,,32,,False,False,True,False,False,False,False,False,False,False,False
35,Histoloogia,nan,fP-GlucGTT0min,Kirjeldus,,10,,False,False,False,False,False,False,False,False,True,False,False
37,Histoloogia,nan,S2-IgE-EP1,Lokatsioon,,7,,False,False,False,False,False,False,False,False,False,True,False
38,Hematoloogilised uuringud,nan,_Adeno,PLCR,,8,,False,False,False,False,False,False,False,True,False,False,False
40,Hematoloogilised uuringud,nan,Chol.,PLCR,,39,,False,False,False,False,False,False,False,True,False,False,False
41,Hematoloogilised uuringud,nan,ChltrachomatisIgA,RDW%,,2,,False,False,False,False,False,False,False,True,False,False,False
44,Hematoloogilised uuringud,nan,"S,P-Prol",RDW%,,1,,False,False,True,False,False,False,False,False,False,False,False
45,Hematoloogilised uuringud,nan,INHIsoniazid,RDW%,,8,,False,False,False,False,False,False,False,True,False,False,False
46,Hematoloogilised uuringud,nan,3,RDW%,,1209,,False,False,False,False,False,False,False,True,False,False,False
48,Hematoloogilised uuringud,nan,59523,RDW%,,1,,False,False,False,False,False,False,False,True,False,False,False
49,Hematoloogilised uuringud,nan,S-ktEBVEpsteinBarrikiirtest,PLCR,,13,,False,False,False,False,False,False,False,False,False,True,False
50,Hematoloogilised uuringud,nan,4601,PLCR,,15,,False,False,False,False,False,False,False,True,False,False,False
51,Hematoloogilised uuringud,nan,UProt/CreValgujakreat.suheuriinis,PLCR,,5,,False,False,False,False,False,False,False,True,False,False,False
52,Hematoloogilised uuringud,nan,71397,PLCR,,4,,False,False,False,False,False,False,False,True,False,False,False
56,Hematoloogilised uuringud,nan,30130,PLCR,,65,,False,False,False,False,False,False,False,True,False,False,False
58,Hematoloogilised uuringud,nan,1645,PLCR,,14,,False,False,False,False,False,False,False,True,False,False,False
63,Histoloogia,nan,S1-aTBEG,Lokatsioon,,2,,False,False,False,False,False,False,False,False,False,True,False
64,Hematoloogilised uuringud,nan,parabeenidesegu(Paraben-Mix)16%,RDW%,,1,,False,False,False,False,False,False,False,True,False,False,False
65,Hematoloogilised uuringud,nan,IgE(ImmuunoglobuliinE),PLCR,,108,,False,False,False,False,False,False,False,True,False,False,False
68,Hematoloogilised uuringud,nan,S-K,PLCR,,4589,,False,False,False,False,False,False,False,False,False,True,False
71,Hematoloogilised uuringud,nan,4253,RDW%,,7,,False,False,False,False,False,False,False,True,False,False,False
72,Histoloogia,nan,S-S.flex_1-5,Diagnoos 1,,5,,False,False,False,False,False,False,False,False,False,True,False
76,Hematoloogilised uuringud,nan,40178,PLCR,,1,,False,False,False,False,False,False,False,True,False,False,False
78,Histoloogia,nan,S-Cort ,Kirjeldus,,7,,False,False,False,False,False,False,False,False,False,True,False
82,Histoloogia,nan,S-CgA/KromograniinA(CgA),Diagnoos 1,,6,,False,False,False,False,False,False,False,False,False,True,False
83,Hematoloogilised uuringud,nan,B3-ABO+rH(D),RDW%,,39,,False,False,False,False,False,False,False,True,False,False,False
84,Histoloogia,nan,S-Prol/Prolaktiin,Kirjeldus,,72,,False,False,False,False,False,False,False,False,False,True,False
86,Histoloogia,nan,B-T/B-LyRakuliseimmuunsusehinnang,Kirjeldus,,2,,False,False,False,False,False,False,False,True,False,False,False
87,Histoloogia,nan,S-AmylP,Kirjeldus,,500,,False,False,False,False,False,False,False,False,False,True,False
89,Histoloogia,nan,S-CA_125,Lokatsioon,,1206,,False,False,False,False,False,False,False,False,False,True,False
91,Hematoloogilised uuringud,nan,59824,RDW%,,1,,False,False,False,False,False,False,False,True,False,False,False
92,Hematoloogilised uuringud,nan,3630,RDW%,,7,,False,False,False,False,False,False,False,True,False,False,False
94,Histoloogia,nan,S-aHIV-1/2,Arhiivi number,,15,,False,False,False,False,False,False,False,False,False,True,False
95,Hematoloogilised uuringud,nan,5700,RDW%,,56,,False,False,False,False,False,False,False,True,False,False,False
96,Hematoloogilised uuringud,nan,3603,RDW%,,14,,False,False,False,False,False,False,False,True,False,False,False
98,Histoloogia,nan,"S-p,cANCA/NeutrofiilidetsütoplasmavastaneIgGseerumis",Arhiivi number,,97,,False,False,False,False,False,False,False,False,False,True,False
99,Hematoloogilised uuringud,nan,377,RDW%,,542,,False,False,False,False,False,False,False,True,False,False,False
100,Histoloogia,nan,S2-B_burgdorferi_IgG,Diagnoos 1,,1,,False,False,False,False,False,False,False,False,False,True,False
103,Hematoloogilised uuringud,nan,Prog/Progesteroon,PLCR,,6,,False,False,False,False,False,False,False,True,False,False,False
105,Hematoloogilised uuringud,nan,10035,RDW%,,11,,False,False,False,False,False,False,False,True,False,False,False
110,Histoloogia,nan,S-sTransf,Arhiivi number,,1,,False,False,False,False,False,False,False,False,False,True,False
111,Hematoloogilised uuringud,nan,S-H.py,RDW%,,2,,False,False,False,False,False,False,False,False,False,True,False
112,Hematoloogilised uuringud,nan,Sy-Diff,PLCR,,3,,False,False,False,False,False,False,False,True,False,False,False
114,Hematoloogilised uuringud,nan,58624,PLCR,,1,,False,False,False,False,False,False,False,True,False,False,False
118,Histoloogia,nan,"S,P-TSH",Diagnoos 1,,65,,False,False,True,False,False,False,False,False,False,False,False
121,Hematoloogilised uuringud,nan,144336,PLCR,,3,,False,False,False,False,False,False,False,True,False,False,False
122,Hematoloogilised uuringud,nan,62727,RDW%,,1,,False,False,False,False,False,False,False,True,False,False,False
123,Hematoloogilised uuringud,nan,S2-C_pneumoniae_IgG,PLCR,,7,,False,False,False,False,False,False,False,False,False,True,False
124,Hematoloogilised uuringud,nan,S1-aLKMA,RDW%,,2,,False,False,False,False,False,False,False,False,False,True,False
