_regex_pattern_,grammar_symbol,value,_group_,_priority_
regex,string,string,callable,callable
ATC kood,ATC_SYM,ATC_SYM,0,0
ATC koodid,ATC_SYM,ATC_SYM,0,0
Kuupäev,DATE_SYM,DATE_SYM,0,0
amantadin-ratiopharm,DRUG_NAME,DRUG_NAME,0,0
no-spa,DRUG_NAME,DRUG_NAME,0,0
melitracen,DRUG_NAME,DRUG_NAME,0,0
sinupret extract,DRUG_NAME,DRUG_NAME,0,0
simfibraat,DRUG_NAME,DRUG_NAME,0,0
lisigamma ,DRUG_NAME,DRUG_NAME,0,0
uft,DRUG_NAME,DRUG_NAME,0,0
sabril,DRUG_NAME,DRUG_NAME,0,0
mst continus,DRUG_NAME,DRUG_NAME,0,0
hetatsilliin,DRUG_NAME,DRUG_NAME,0,0
oksetoroon,DRUG_NAME,DRUG_NAME,0,0
efferalgan codeine,DRUG_NAME,DRUG_NAME,0,0
tribenosiid\+lidokaiin,DRUG_NAME,DRUG_NAME,0,0
oliclinomel -00 e,DRUG_NAME,DRUG_NAME,0,0
"vitamin b, plain and in combination with vitamin b6 and b12",DRUG_NAME,DRUG_NAME,0,0
betnovate n cream,DRUG_NAME,DRUG_NAME,0,0
methoxsalen,DRUG_NAME,DRUG_NAME,0,0
mono mack,DRUG_NAME,DRUG_NAME,0,0
glibornuride,DRUG_NAME,DRUG_NAME,0,0
terbutaline,DRUG_NAME,DRUG_NAME,0,0
sufentanil,DRUG_NAME,DRUG_NAME,0,0
fenüülalküülamiini derivaadid,DRUG_NAME,DRUG_NAME,0,0
moksaveriin,DRUG_NAME,DRUG_NAME,0,0
diflucan ,DRUG_NAME,DRUG_NAME,0,0
lidokaiin\+kloorheksidiin\+metüülparahüdroksübensoaat\+propüülparahüdroksübensoaat,DRUG_NAME,DRUG_NAME,0,0
oksüfenbutasoon,DRUG_NAME,DRUG_NAME,0,0
etodolak,DRUG_NAME,DRUG_NAME,0,0
"ectoparasiticides, incl. scabicides",DRUG_NAME,DRUG_NAME,0,0
acc long,DRUG_NAME,DRUG_NAME,0,0
hydrocortisone\+polymyxin b\+neomycin,DRUG_NAME,DRUG_NAME,0,0
carboplatin actavis,DRUG_NAME,DRUG_NAME,0,0
virolex,DRUG_NAME,DRUG_NAME,0,0
epimestrool,DRUG_NAME,DRUG_NAME,0,0
lacidipine teva,DRUG_NAME,DRUG_NAME,0,0
nepinalone,DRUG_NAME,DRUG_NAME,0,0
pramipexo-atiopharm 7mg,DRUG_NAME,DRUG_NAME,0,0
endoxan,DRUG_NAME,DRUG_NAME,0,0
procaine\+phenazone,DRUG_NAME,DRUG_NAME,0,0
chlorzoxazone,DRUG_NAME,DRUG_NAME,0,0
dhc continus,DRUG_NAME,DRUG_NAME,0,0
parareg,DRUG_NAME,DRUG_NAME,0,0
guanoksabens,DRUG_NAME,DRUG_NAME,0,0
sulphur for external use,DRUG_NAME,DRUG_NAME,0,0
lifmior,DRUG_NAME,DRUG_NAME,0,0
metronidazole \+miconazole,DRUG_NAME,DRUG_NAME,0,0
donepezil synthon,DRUG_NAME,DRUG_NAME,0,0
lamberts vitamiin b,DRUG_NAME,DRUG_NAME,0,0
octaplaslg,DRUG_NAME,DRUG_NAME,0,0
prednisoloon\+kliokvinool,DRUG_NAME,DRUG_NAME,0,0
suksibusoon,DRUG_NAME,DRUG_NAME,0,0
"corticosteroids, plain",DRUG_NAME,DRUG_NAME,0,0
provera,DRUG_NAME,DRUG_NAME,0,0
