dirty_code,loinc_code(T-luhend)
BASO#,B-Baso#
BASO Basofiilide absoluutarv,B-Baso#
BASO%,B-Baso%
BASO% Basofiilide suhtarv,B-Baso%
Basofiilid,B-Basofiilid %
b-BASO#(basofiilidearv),B-Baso#
b-BASO%(basofiilidesuhtarv),B-Baso%
b-EO#(eosinofiilidearv),B-Eo#
b-EO%(eosinofiilidesuhtarv),B-Eo%
b-ESR(Erutrotsuutide settekiirus),B-ESR
b-HCT(hematokrit),B-Hct
b-HGB(hemoglobiin),B-Hb
b-HGB(Hemoglobiin veres),B-Hb
b-HG(Hemoglobiin veres),B-Hb
b-IG(Ebakupsed granulotsuudid),B-IG#
b-IG(Ebakupsete granulotsuutide arv),B-IG#
b-IG%(Ebakupsete granulotsuutide suhtarv),B-IG%
b-IG%(Ebakups.granulotsuutide %),B-IG%
b-MONO#(monotsuutidearv),B-Mono#
b-MONO%(monotsuutidesuhtarv),B-Mono%
b-MPV(trombots.keskminemaht),B-MPV
b-NEUT#(neutrofiilidearv),B-Neut#
b-NEUT%(neutrofiilidesuhtarv),B-Neut%
b-NRBC%(normoblastidesuhtarv),B-NRBC%
b-PCT(trombokrit),B-Pct
b-PDW(trombotsuutidesuurusjaotuvus),B-PDW
b-PLT(trombotsuudid),B-Plt
b-RBC(erutrotsuudid),B-RBC
b-RBC(Erutrotsuudid veres),B-RBC
b-RDW-CV(erutrotsuutidesuurusjaotuvus),B-RDW-CV
b-RET???(retikulotsuutidesuhtarv),B-Ret%
b-WBC(leukotsuudid),B-WBC
b-WBC(Leukotsuudid taisverest),B-WBC
EO#,B-Eo#
EO Eosinofiilide absoluutarv,B-Eo#
EO%,B-Eo%
EO% Eosinofiilide suhtarv,B-Eo%
Eosinofiilid,B-Eosinofiilid %
Erutrotsuutideanisotsutoos,B-Erutrotsuutide anisotsutoos
Erutrotsuutidemakrotsutoos,B-Erutrotsuutide makrotsutoos
Erutrotsuutidemikrotsutoos,B-Erutrotsuutide mikrotsutoos
fP-Gluc,"fS,fP-Gluc"
fP-PTH,"S,P-PTH"
fS-Ca,"S,P-Ca"
fS-C-pept,"S,P-C-pept"
fS-Crea,"S,P-Crea"
fS-CT,"S,P-CT"
fS-Fe,"S,P-Fe"
fS-Fol,"S,P-Fol"
fS-Gluc,"fS,fP-Gluc"
fs-Gluc,"fS,fP-Gluc"
fS-HDL-Cho,"S,P-HDL-Chol"
fS-HDL-Cho(HDL-Kolesterool),"S,P-HDL-Chol"
fS-HDL-Chol,"S,P-HDL-Chol"
fS-HDL-Chol(HDL-Kolesterool),"S,P-HDL-Chol"
fS-HDL-Chol(HDL-kolesterool seerumis),"S,P-HDL-Chol"
fS-HDL(HDL-Kolesterool),"S,P-HDL-Chol"
fS-LDL-Cho,"S,P-LDL-Chol"
fS-LDL-Chol,"S,P-LDL-Chol"
fS-LDL-Cho(LDL-Kolesterool),"S,P-LDL-Chol"
fS-LDL-Chol(LDL-Kolesterool),"S,P-LDL-Chol"
fS-LDL-Chol(LDLkolesterool),"S,P-LDL-Chol"
fS-LDL-Chol(LDL-kolesterool seerumis),"S,P-LDL-Chol"
fS-LDL(LDL-Kolesterool),"S,P-LDL-Chol"
fS-P,"S,P-P"
fS-PTH,"S,P-PTH"
fS-RF,"S,P-RF"
fS-Transf,"S,P-Transf"
fS-Trigl,"fS,fP-Trigl"
fS-Urea,"S,P-Urea"
