dirty_code,loinc_code(T-luhend)
AAV1 1 U-Glu(Glukoos uriinis),U-Gluc
AAV1 1 U-Pro(Valk uriinis),U-Prot
AAV1 1 U-UBG(Urobilinogeen  ),U-Ubg strip
AAV1 2 U-Glu(Glukoos uriinis),U-Gluc
AAV1 2 U-Pro(Valk uriinis),U-Prot
AAV1 2 U-UBG(Urobilinogeen  ),U-Ubg strip
AAV1 U-Glu(Glukoos uriinis),U-Gluc
AAV1 U-Pro(Valk uriinis),U-Prot
AAV1 U-UBG(Urobilinogeen  ),U-Ubg strip
A(Erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II"
A(erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II"
AK(Erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II"
AK(erutrotsutaarsete antikehade soeluuring kahe erutrotsuudiga),"B-RBC Ab screen I, II"
Ampitsillii(Ampitsilliin),Is-Ampicillin
Ampitsilliin+sulbaktaa(Ampitsilliin+sulbaktaam),Is-Ampicillin+Sulbactam
Amulaa(Amulaas uriinis),U-Amyl
Angiotensiinikonv.ens.(ACE),"S,P-ACE"
Angiotensiini konverteeriv ensuum (ACE),"S,P-ACE"
Asitromutsii(Asitromutsiin),Is-Azithromycin
B12(Vitamiin B12),"S,P-Vit B12"
B-C(Kloriid),"S,P-Cl"
B-Cl(Kloriid),"S,P-Cl"
B-Cl(kloriid),"S,P-Cl"
B-ES(Erutrotsuutide settekiirus),B-ESR
 B-GR%(Granulotsuutide protsent),B-Gran%
B-GR-(Granulotsuutide protsent),B-Gran%
B-GR%(Granulotsuutide protsent),B-Gran%
B-Hc(Hematokrit),B-Hct
b-HGB(hemoglobiin),B-Hb
 B-Hgb(Hemoglobiin veres),B-Hb
B-Hgb(Hemoglobiin veres),B-Hb
b-HGB(Hemoglobiin veres),B-Hb
B-Hg(Hemoglobiin veres),B-Hb
b-HG(Hemoglobiin veres),B-Hb
B-H(Hemoglobiin veres),B-Hb
Bilirubii(Bilirubiin),U-Bil strip
B-IR(Ebakupsete retikulotsuutide fraktsioon),B-IRF
B-MC(Erutrotsuutide keskmine maht),B-MCV
B-MP(Trombotsuutide keskmine maht),B-MPV
B-N(Naatrium),"S,P-Na"
"B,P-Cl(kloriid)","S,P-Cl"
B-P-LC(Trombotsuutide suurte vormide suhtarv),B-LCR
B-PL(Trombotsuudid),B-Plt
b-RET???(retikulotsuutidesuhtarv),B-Ret%
B-Tbc(Mukobakterite kulv verest),B-Mycobacterium culture
CSF-Glu(Glukoos liikvoris),CSF-Gluc
CSF-La(Laktaat liikvoris),CSF-Lac
Doksutsuklii(Doksutsukliin),Is-Doxycycline
dU-Creat(Kreatiniin ????paevases uriinis),dU-Crea
dU-Pro(valk ????paevases uriinis),dU-Prot
Erikaa(Erikaal),U-SG strip
Erutromutsii(Erutromutsiin),Is-Erythromycin
FAI(Vaba androgeeni indeks),"S,P-FAI"
FA(Vaba androgeeni indeks),"S,P-FAI"
Gentamutsii(Gentamutsiin),Is-Gentamicin
G(Granulotsuutide arv)#,B-Gran#
G(Granulotsuutide protsent)%,B-Gran%
Glukoo(Glukoos),U-Gluc strip
Granulotsuudid %(Granulotsuutide  protsent),B-Gran%
GR(Granulotsuutide arv)#,B-Gran#
GR(Granulotsuutide protsent)%,B-Gran%
HC(Hematokrit),B-Hct
HCT(Hematokrit),B-Hct
hemoglobii(hemoglobiin),B-Hb
IN(INR),INR
IR(IRF),B-IRF
Josamutsii(Josamutsiin),Is-Josamycine
Kask (T3),"S,P-T3"
Klindamutsii(Klindamutsiin),Is-Clindamycin
Kortisool Cort(Kortisool),"S,P-Cort"
Kreatinii(Kreatiniin),"S,P-Crea"
Kusihappe kristalli(Kusihappe kristallid),U-Kusihappe kristallid
