dirty_code,loinc_code(T-luhend)
aB-ABB,aB-ABB panel
B-CBC+Diff,"B-CBC-3Diff,B-CBC-5Diff"
cB-Gluc-p,fcB-Gluc
B1-A3Diff,B-CBC-3Diff
B-A3Diff,B-CBC-3Diff
aB-Elektrol????did,aP-Electrolytes panel
B-Hemo,B-Smear-m panel
HGB,B-Hb
B-CBC-Diff,"B-CBC-3Diff,B-CBC-5Diff"
U-Sedim,U-Sed-m panel
aB-tO2,aB-O2
aB-ABE,aB-BE
Laktaat_arteriaalses_plasmas,aP-Lac
LCR,B-LCR
LYMPH#,B-Lymph#
lymph#,B-Lymph#
LYM#,B-Lymph#
LYMPH%,B-Lymph%
lymph%,B-Lymph%
LYM%,B-Lymph%
Albumiin_plasmas,"S,P-Alb"
Albumiin_seerumis,"S,P-Alb"
BASO%_Basofiilide_suhtarv,B-Baso%
B-Basof????lid_%,B-Baso%
EO%_Eosinofiilide_suhtarv,B-Eo%
Hct B-Hct,B-Hct
Hct,B-Hct
HCT(hematokrit),B-Hct
HCT_Hematokritt,B-Hct
HGB,B-Hb
HGB_Hemoglobiin,B-Hb
HGB(hemoglobiin),B-Hb
PLT_Trombots????did,B-Plt
U-Alb/U-CreaAlbumiinijakreatiniinisuheuriinis ,U-Alb/U-Crea
U-Prot_,U-Prot
WBC_Leukots????did,B-WBC
C-reaktiivne valk plasmas,"S,P-CRP"
Glomerulaarfiltratsi,eGFR
Glomerulaarfiltratsioon M,eGFR
Glomerulaarfiltratsioon MDRD v,eGFR
Hinnanguline glomerulaarf,eGFR
Hinnanguline glomerulaarfiltra,eGFR
Kreatiniin paastusee,"S,P-Crea"
Kreatiniin paastuseerumis,"S,P-Crea"
Kreatiniin urii,U-Crea
S-Creat,"S,P-Crea"
U-Kreatiniin,U-Crea
Albumiini ja kr,U-Alb/U-Crea
Albumiini ja kreatin,U-Alb/U-Crea
Albumiini ja kreatiniini,U-Alb/U-Crea
Albumiini ja kreatiniini suhe,U-Alb/U-Crea
Albumiin/kreatiniin uriin,U-Alb/U-Crea
Albumiin seerumis,"S,P-Alb"
Albumiin uriini,U-Alb
mikroalbumiin u,U-Alb
mikroalbuminuri,U-Alb
MIKROALBUMINUUR,U-Alb
Mikroalbuminuur,U-Alb
mikroalbuminuur,U-Alb
U-Albumiin,U-Alb
Alb - Albumiin Seerumis,"S,P-Alb"
Albumiini Ja Kreatiniini Suhe Uriinis,U-Alb/U-Crea
Albumiini-Kreatiniini Suhe Uriinis,U-Alb/U-Crea
Albumiini/Kreatiniini Suhe Uriinis,U-Alb/U-Crea
Albumiin/Kreatiniin,U-Alb/U-Crea
Albumiin/Kreatiniin Uriinis,U-Alb/U-Crea
Albumiin (Kõrgtundlik),"S,P-Alb-hs"
Albumiin Liikvoris,CSF-Alb
Albumiin Plasmas,"S,P-Alb"
Albumiin Seerum,"S,P-Alb"
Albumiin Seerumis/Plasmas,"S,P-Alb"
Albumiin Uriinis,U-Alb
Albumiin Uriinis ( Mikroalbumiin ),U-Alb
Albumiin Ööpäevases Uriinis,dU-Alb
Albuminurinis,U-Alb
Albummiin Urin,U-Alb
Liikvori- Ja Seerumialbumiini Suhe,CSF-Alb/S-Alb
Mikroalbumiin,U-Alb
Mikroalbumiin Nefelomeetriliselt,U-Alb
Prealbumiin,"S,P-PreAlb"
Prealbumiin Seerumis,"S,P-PreAlb"
S-Albumiin (Kõrgtundlik),"S,P-Alb-hs"
S-Liikvori- Ja Seerumialbumiini Suhe,CSF-Alb/S-Alb
U-Albumiin/Kreatiniin Uriinis,U-Alb/U-Crea
U-Albumiin Uriinis,U-Alb
,
Egfr (Ckd-Epi),eGFR (CKD-EPI)
"Egfr (Crea, Ckd-Epi)",eGFR (CKD-EPI)
"Egfr (Crea, Mdrd)",eGFR
Egfr Hinnanguline Glomerulaarfiltratsiooni Kiirus,eGFR
Egfr (Mdrd),eGFR
Egfr (Mdrd):,eGFR
Fs-Crea:,"S,P-Crea"
Glomerulaarfilt,eGFR
Glomerulaarfiltratiooni Kiirus Mdrd Valemiga,eGFR
Glomerulaarfiltratsiooni Kiiru,eGFR
Glomerulaarfiltratsioon Mdrd V,eGFR
Hinnangulina Glomerulaarfiltratsiooni Kiirus(Egfr),eGFR
Hinnanguline Glomerulaarf,eGFR
Hinnanguline Glomerulaarfiltra,eGFR
Hinnanguline Glomerulaarfiltratsiooni Kiirus,eGFR
Hinnanguline Glomerulaarfiltratsiooni Kiirus (Egfr),eGFR
Hinnanguline Glomerulaarfiltratsooni Kiirus (Mdrd),eGFR
Kreatiniin,"S,P-Crea"
Kreatiniin Dialüüsivedelikus,pDiaF-Crea
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,"S,P-CK-MBm"
Kreatiniinikliirens,dU-S-Crea
Kreatiniin Kinaasi Mb Isoensüümi Mass,"S,P-CK-MBm"
Kreatiniin Kinaasi Mb Isoensüümi Mass Seerumis/Plasmas,"S,P-CK-MBm"
Kreatiniin Paas,"S,P-Crea"
Kreatiniin Peritoneaaldialüüsivedelikus,pDiaF-Crea
Kreatiniin Seerumis/Plasmas,"S,P-Crea"
Kreatiniin Urii,U-Crea
Kreatiniin Uriinis,U-Crea
S-Crea:,"S,P-Crea"
"S,P-Kreatiniin","S,P-Crea"
U-Crea,U-Crea
U-Valk/Kreatiniin Uriinis,U-Prot/U-Crea
Valk/Kreatiniin Uriinis,U-Prot/U-Crea
